wikibase_item,viaf
Q9245,117906749
Q9260,23434627
Q9553,9922902
Q9101,284740700
Q9612,2555069
Q9531,95150149
Q9582,21400815
Q9587,22243126
Q9581,37044949
Q9237,65281323
Q9562,2511709
Q9615,44436539
Q9261,33646314
Q9601,7555088
Q9652,86563435
Q9199,52014367
Q9577,160616411
Q9411,114464906
Q9560,14925703
Q9462,87279054
Q9655,86930503
Q9628,53596380
Q9501,17353111
Q9191,266750981
Q9530,2501728
Q9392,93666465
Q9271,172511543
Q9617,65672025
Q9624,86566272
Q9118,86949233
Q9644,87646689
Q9605,11451061
Q9177,93102111
Q9514,87932486
Q9370,316452189
Q9618,114450947
Q9526,29045268
Q9174,19182177
Q9630,313289597
Q9656,22397897
Q9354,16149841867302840833
Q9113,100252841
Q9572,46876163
Q9552,113800106
Q9494,27202533
Q9155,5737154387458730970003
Q9616,82913040
Q9488,87935055
Q9490,87588765
Q9137,313505490
Q9337,120438018
Q9205,160346687
Q9388,163305095
Q9110,56788782
Q9638,284353479
Q9537,128252846
Q9533,67691464
Q9175,38628916
Q9250,17338415
Q9090,14461329
Q9603,22284331
Q7426,75120362
Q7486,90660748
Q7648,61554892
Q7673,67598491
Q7418,23833899
Q7803,77689387
Q7325,94813161
Q7689,73848728
Q7483,28734541
Q7298,34582319
Q7657,311491708
Q7272,87663265
Q7408,41343481
Q7761,9358742
Q7249,61070617
Q7601,87832395
Q7614,36246306
Q7454,16727012
Q7531,58012787
Q7598,45756449
Q7275,33489702
Q7262,261069491
Q7233,87651068
Q7757,45838026
Q7346,71622390
Q7640,32164881
Q7250,13838576
Q7456,24734479
Q7557,87681527
Q7608,74948559
Q7574,55376257
Q7611,9348864
Q7756,14930652
Q7276,56125937
Q7609,36446527
Q7371,244753652
Q7446,296287749
Q7400,20857190
Q7264,17131275
Q7783,306352181
Q7282,46305789
Q7304,21572822
Q7487,62409452
Q7654,187666678
Q7472,317141978
Q7638,86865813
Q7585,78854973
Q7362,100924756
Q7246,29482543
Q7685,10154901
Q7672,170758041
Q7677,86588286
Q7294,86831753
Q7259,168959026
Q7564,203879922
Q7397,309780188
Q7450,87797366
Q7254,66720180
Q7291,44628730
Q7239,61554871
Q7829,59319909
Q7952,23512058
Q7965,79135933
Q7867,34499450
Q7893,90658784
Q7955,88097703
Q8430,49899
Q7822,6209956
Q7927,52959344
Q8324,19818346
Q7954,37240493
Q8294,44334313
Q8371,31418657
Q8270,87379046
Q8157,168674155
Q7839,86817977
Q7989,1287838
Q8404,76236178
Q8086,87936314
Q7871,100912878
Q8283,100945660
Q8444,8579585
Q8364,86897383
Q8038,167313024
Q8397,141558220
Q7951,40437170
Q8343,87164844
Q7850,216280449
Q8377,5090222
Q8034,60647909
Q8422,44449859
Q8360,83152138519810980574
Q8382,1150746804316301074
Q8023,75255283
Q7873,87975423
Q8089,195223336
Q7915,317141976
Q8132,5220913
Q8156,58451484
Q8136,87673965
Q8317,49188529
Q8271,87302906
Q7956,87061442
Q8274,160220473
Q8284,29713026
Q8155,78105535
Q8201,87797275
Q8178,86625661
Q8031,87299561
Q8298,87823089
Q7831,169528810
Q1760,13150686638012542629
Q1798,7272147665837260670003
Q1673,314850892
Q1610,209201638
Q201,49241578
Q607,105395715
Q2,134962018
Q1997,24850294
Q298,225083484
Q1911,314850243
Q1326,87319966
Q1366,169733062
Q1041,296911365
Q1456,20009414
Q3416,107548761
Q3621,167616609
Q3425,86625769
Q3424,87239619
Q3279,2161573337204520100
Q3699,5146284289715330828
Q3208,133153180
Q3192,43145970052232250731
Q3584,9158548578216351016
Q3680,126135880
Q2496,71148995771859750909
Q623,308236485
Q701,305865706
Q714,191751238
Q671,61269624
Q5642,133110838
Q6149,71627896
Q6148,100953939
Q5727,150720213
Q5696,87424251
Q6155,87313027
Q5940,261635055
Q6119,305881571
Q6301,2516155566456713380003
Q5576,170426700
Q5966,353147905261779092257
Q5460,6872989
Q5765,65915565
Q6217,26317502
Q5993,13151836547620402905
Q6289,107554105
Q6112,269296647
Q5847,86687861
Q6115,169899964
Q5867,305112859
Q6216,195177305
Q6137,169629852
Q5692,311587994
Q5648,169709235
Q6342,284647224
Q6007,87091940
Q5459,311436900
Q5668,315225195
Q6233,25155343959306312283
Q6006,106799217
Q6145,24071768
Q4266,192204744
Q4513,48134460
Q4261,199081082
Q4277,169569260
Q3997,310682693
Q4582,233525074
Q4203,308236585
Q4073,313245492
Q4291,313493945
Q3978,270146936600913780012
Q4521,315089116
Q4267,309912171
Q4375,25146825563207632013
Q4352,9996159478133027990001
Q4290,306351599
Q4538,100925150
Q3863,56149912327106210065
Q4575,313245158
Q4269,1152259545516982257
Q5156,7555088
Q4752,36169054
Q4917,8147093659725000190
Q4901,173177496
Q4885,4157222973684972840
Q4800,2798148632935230630009
Q5034,87960190
Q4749,316546104
Q4918,305243123
Q5377,64148389533410712811
Q5258,169448764
Q4725,315521884
Q4891,313412508
Q4897,87114138
Q5317,86539096
Q4912,36386919
Q8475,46796711
Q8640,127102562
Q8521,86647795
Q8819,50323137
Q8570,107586213
Q8482,34686603
Q8637,171504367
Q8514,70922823
Q8757,43812188
Q8792,119378444
Q8734,29555130
Q8641,139522935
Q8723,38589109
Q8907,103926
Q8722,8662779
Q8480,114437100
Q8888,59341806
Q8718,4877155832967433490007
Q8523,53477561
Q9075,46810427
Q8694,1791231
Q8835,87712099
Q9010,102700089
Q8664,90660674
Q8880,68249130
Q8716,314901233
Q8806,19804736
Q8504,7605322
Q8691,23369164
Q8980,72493485
Q9050,64295786
Q8628,21232413
Q8776,107543923
Q9051,43754339
Q9000,20876036
Q8464,107557636
Q8644,4745578
Q8724,172496740
Q9001,310568379
Q8893,313411592
Q8765,75711326
Q8929,113149717637110952110
Q8452,102954986
Q8629,37135752
Q8550,168116510
Q8600,37175788
Q8745,177404226
Q10168,157158622
Q9696,5167051
Q9675,55299726
Q10152,135834733
Q9883,27090662
Q10160,21072888
Q9962,12406125
Q9677,76462102
Q9798,32318159
Q9757,59299877
Q9742,21453310
Q9805,90663400
Q9872,100240895
Q9797,73186266
Q9820,87979768
Q9787,11624178
Q9716,7485393
Q10007,160634327
Q9920,100955528
Q10018,48676569
Q9949,9374797
Q9875,12628885
Q9875,55726386
Q9861,51924771
Q10016,1670688
Q9657,87701204
Q10134,6714549
Q10074,87667488
Q9738,3725989
Q10076,54201566
Q10031,87612914
Q9932,262082483
Q9925,23922307
Q10151,195920187
Q9830,87852103
Q9699,37077517
Q9900,87800250
Q10033,311586568
Q9771,76566085
Q9771,6956165628857042480008
Q9838,29859575
Q10149,87015160
Q9671,87325905
Q10183,214903312
Q10214,121797382
Q10090,87196472
Q10120,86687225
Q9723,87320317
Q9934,87240376
Q9674,53663045
Q10143,160803123
Q12637,268427214
Q12678,6507
Q12951,165943313
Q12784,51713878
Q12516,87826432
Q12653,59119937
Q12703,1007152865726004940007
Q12566,45596794
Q12819,171048823
Q12805,21371133
Q12989,22821438
Q12833,261424750
Q12518,65806639
Q12915,87674005
Q12714,66615515
Q12965,87303990
Q12664,19004871
Q12531,55871928
Q12916,87827527
Q12932,9896039
Q12633,43192473
Q12681,6662149235108576690001
Q12656,80518815
Q12581,14283612
Q12810,54382440
Q12709,86877678
Q12883,37835064
Q12930,86744464
Q12926,73922949
Q12985,311307501
Q12544,156985
Q12911,19439723
Q12525,316556674
Q12977,85652419
Q13030,465146936617513780677
Q12811,90645638
Q12630,12489469
Q12758,11615947
Q12567,87408898
Q12787,77952449
Q12768,86950116
Q12688,76021231
Q12673,212714668
Q12984,288935458
Q12592,87640340
Q12935,87326322
Q12605,27243533
Q12737,41120507
Q12543,88018593
Q12903,87040167
Q12774,266041451
Q12774,87144064
Q12547,87185902
Q13029,124060625
Q11049,74012487
Q11016,298170734
Q11247,124992592
Q11279,132005585
Q11206,26908728
Q11183,19145424143186790813
Q11024,58092153
Q11169,140159621
Q11297,45576923
Q11382,110799606
Q11383,187630341
Q11017,30764822
Q10899,268024822
Q11018,41969236
Q10890,11687400
Q10890,87763109
Q11355,64341663
Q11045,37618562
Q11311,54854924
Q11349,216366628
Q11152,169663845
Q11235,51918714
Q10871,39624629
Q10998,250978349
Q11001,56145541725596600359
Q11320,27220705
Q10939,70216852
Q10889,86806783
Q10990,87435860
Q11160,86533273
Q11348,70891140
Q10997,87851856
Q10866,121981690
Q10866,27403845
Q10991,198989486
Q10950,54221726
Q11386,67961203
Q10974,79232421
Q11219,87830940
Q11350,34583233
Q11028,71636251
Q10930,24825291
Q11268,87820721
Q11082,86950100
Q10884,313245599
Q10951,12589217
Q11406,301485053
Q11267,89828824
Q11083,310538536
Q11092,74081518
Q11237,194120566
Q11066,87867324
Q11308,46009547
Q11188,107634978
Q11013,87431036
Q11367,87804925
Q11381,23516967
Q10892,87988727
Q11236,1208152636059420050974
Q10928,86750433
Q10886,169907638
Q10986,65942290
Q11254,134597773
Q12042,114350491
Q12318,162198948
Q12376,65482862
Q12445,166538761
Q12143,16082609
Q12489,128381142
Q12489,130177899
Q12489,199470220
Q12365,37042426
Q12328,171906097
Q12474,9911665
Q11986,247985053
Q12039,78105213
Q12114,198009833
Q12034,66525920
Q12172,87264086
Q12342,74087780
Q12352,107563959
Q12471,29705996
Q12293,38913935
Q12033,87110414
Q12457,42152431
Q12040,169016882
Q12514,61666130
Q12123,40218147
Q12123,87567890
Q12032,87021876
Q12268,39663287
Q12201,51746294
Q12109,77598746
Q12511,4952980
Q12131,191828848
Q12264,86793678
Q12241,86951350
Q12512,42156219304004742203
Q12512,66639839
Q12120,232231839
Q12399,2465687
Q12406,87196308
Q11984,29587715
Q12226,87759528
Q12117,3501145857124922922475
Q12239,87973284
Q12494,107553231
Q12502,264887160
Q12234,48698730
Q12491,87451501
Q9988,174906760
Q12232,86469140
Q12233,86579867
Q12450,63833470
Q12296,44552028
Q12465,86736396
Q12475,86935903
Q12508,87928327
Q12487,87407182
Q12275,86864795
Q12187,87606197
Q12057,107586808
Q12284,87091741
Q12312,7543107
Q12231,21483827
Q12193,86837636
Q12367,86964074
Q13177,132570865
Q13073,262271113
Q13086,137923636
Q13093,133780097
Q13181,122664325
Q13229,143735598
Q13058,132783660
Q24777,126992617
Q13071,137107489
Q13114,143731170
Q24803,144518471
Q24763,144672248
Q24765,263315913
Q13108,142545426
Q24759,124173324
Q13333,123204011
Q13333,234692152
Q7044,21108986
Q7206,20017555
Q7162,44388032
Q7163,87912321
Q7227,58571028
Q7145,71461446
