prop,propLabel,datatype,wd,formUrl
http://lexbib.elex.is/entity/P6,title,http://wikiba.se/ontology#Monolingualtext,P1476,
http://lexbib.elex.is/entity/P10,place of publication,http://wikiba.se/ontology#WikibaseItem,P291,
http://lexbib.elex.is/entity/P11,publication language,http://wikiba.se/ontology#WikibaseItem,P407,
http://lexbib.elex.is/entity/P12,author,http://wikiba.se/ontology#WikibaseItem,P50,
http://lexbib.elex.is/entity/P13,editor,http://wikiba.se/ontology#WikibaseItem,P98,
http://lexbib.elex.is/entity/P15,publication date,http://wikiba.se/ontology#Time,P577,
http://lexbib.elex.is/entity/P17,DOI,http://wikiba.se/ontology#ExternalId,P356,https://doi.org/$1
http://lexbib.elex.is/entity/P18,ISBN-13,http://wikiba.se/ontology#ExternalId,P212,http://worldcat.org/isbn/$1
http://lexbib.elex.is/entity/P19,ISBN-10,http://wikiba.se/ontology#ExternalId,P957,
http://lexbib.elex.is/entity/P20,ISSN,http://wikiba.se/ontology#ExternalId,P236,
http://lexbib.elex.is/entity/P21,distribution location,http://wikiba.se/ontology#Url,P953,
http://lexbib.elex.is/entity/P22,volume,http://wikiba.se/ontology#String,P478,
http://lexbib.elex.is/entity/P23,issue,http://wikiba.se/ontology#String,P433,
http://lexbib.elex.is/entity/P25,is review of,http://wikiba.se/ontology#WikibaseItem,P6977,
http://lexbib.elex.is/entity/P26,reviewed in,http://wikiba.se/ontology#WikibaseItem,,
http://lexbib.elex.is/entity/P27,subject,http://wikiba.se/ontology#WikibaseItem,P921,
http://lexbib.elex.is/entity/P28,part of,http://wikiba.se/ontology#WikibaseItem,P361,
http://lexbib.elex.is/entity/P30,part of conference series,http://wikiba.se/ontology#WikibaseItem,,
http://lexbib.elex.is/entity/P31,has part,http://wikiba.se/ontology#WikibaseItem,P527,
http://lexbib.elex.is/entity/P32,ISO 639-3 code,http://wikiba.se/ontology#ExternalId,P220,http://lexvo.org/id/iso639-3/$1
http://lexbib.elex.is/entity/P33,series ordinal,http://wikiba.se/ontology#String,P1545,
http://lexbib.elex.is/entity/P35,publisher,http://wikiba.se/ontology#WikibaseItem,P123,
http://lexbib.elex.is/entity/P36,event,http://wikiba.se/ontology#WikibaseItem,,
http://lexbib.elex.is/entity/P39,ORCID,http://wikiba.se/ontology#ExternalId,P496,https://orcid.org/$1
http://lexbib.elex.is/entity/P43,wikimedia language code,http://wikiba.se/ontology#String,P424,
http://lexbib.elex.is/entity/P44,official website,http://wikiba.se/ontology#Url,P856,
http://lexbib.elex.is/entity/P46,part of journal,http://wikiba.se/ontology#WikibaseItem,,
http://lexbib.elex.is/entity/P51,VIAF ID,http://wikiba.se/ontology#ExternalId,P214,https://viaf.org/viaf/$1/
http://lexbib.elex.is/entity/P52,date of birth,http://wikiba.se/ontology#Time,P569,
http://lexbib.elex.is/entity/P53,date of death,http://wikiba.se/ontology#Time,P570,
http://lexbib.elex.is/entity/P62,OCLC,http://wikiba.se/ontology#ExternalId,P243,http://worldcat.org/oclc/$1
http://lexbib.elex.is/entity/P64,edition number,http://wikiba.se/ontology#String,P393,
http://lexbib.elex.is/entity/P113,download location,http://wikiba.se/ontology#Url,,
