zbk,Gazteleraz,Gazteleraz 2,Wikidata,Euskaraz,Euskaraz 2,kale mota
6140,ARIÑIZ/ARIÑEZ,Aríñez,Q627169,ARINIZ,ARINIZ,""ENTIDAD"""
340,ARIZNABARRA,Ariznavarra,Q575993,ARIZNABARRA KALEA,ARIZNABARRA KALEA,""CALLE"""
349,ARIZNABARRETA,calle de Ariznabarreta,Q123505388,ARIZNABARRETA KALEA,ARIZNABARRETA KALEA,""CALLE"""
6110,ARKAIA,Arcaya,Q604318,ARKAIA,ARKAIA,""ENTIDAD"""
4857,ARKAIABIDEA,calle de Arkaiabidea,Q123366851,ARKAIABIDEA,ARKAIABIDEA,""CALLE"""
4913,ARKAMU,montes de Arcamo,Q12253995,ARKAMU KALEA,ARKAMU KALEA,""CALLE"""
310,ARKATXA,Arkatxa,Q95611413,ARKATXA KALEA,ARKATXA KALEA,""CALLE"""
6100,ARKAUTI/ARCAUTE,Arcaute,Q606618,ARKAUTI,ARKAUTI,""ENTIDAD"""
6150,ARMENTIA,Armentia de Vitoria,Q2862218,ARMENTIA,ARMENTIA,""ENTIDAD"""
350,""ARMENTIA, ALTO DE"",Armentia de Vitoria,Q2862218,ARMENTIAGANA,ARMENTIAGANA,""CALLE"""
367,""ARMENTIA, CAMINO DE"",Armentia de Vitoria,Q2862218,ARMENTIABIDEA,ARMENTIABIDEA,""CAMINO"""
6160,ARRIAGA,Arriaga,Q560007,ARRIAGA,ARRIAGA,""ENTIDAD"""
400,ARRIAGANA,ARRIAGANA,,ARRIAGANA KALEA,ARRIAGANA KALEA,""CALLE"""
2951,ARRIETA,Arrieta,Q2743514,ARRIETA KALEA,ARRIETA KALEA,""CALLE"""
411,""ARRIETA, PASAJE DE"",Arrieta,Q2743514,ARRIETA PASABIDEA,ARRIETA PASABIDEA,""PASAJE"""
4623,ARRIURDINA,Arriurdina,Q95611640,ARRIURDINA KALEA,ARRIURDINA KALEA,""CALLE"""
4614,ARROXETA,ARROXETA,,ARROXETA KALEA,ARROXETA KALEA,""CALLE"""
4925,ARTANDI,Artandi,Q119295900,ARTANDI KALEA,ARTANDI KALEA,""CALLE"""
420,ARTAPADURA,parada de Artapadura,Q4321536,ARTAPADURA KALEA,ARTAPADURA KALEA,""CALLE"""
6170,ARTATZA FORONDA,Artaza de Foronda,Q625456,ARTATZA FORONDA,ARTATZA FORONDA,""ENTIDAD"""
4934,ARTETXO,ARTETXO,,ARTETXO KALEA,ARTETXO KALEA,""CALLE"""
430,ARTZARANA,ARTZARANA,,ARTZARANA KALEA,ARTZARANA KALEA,""CALLE"""
4804,ARTZUA,ARTZUA,,ARTZUA KALEA,ARTZUA KALEA,""CALLE"""
4676,ASESTADERO,calle del Asestadero,Q123469042,ASESTADERO KALEA,ASESTADERO KALEA,""CALLE"""
4774,ASKARRA,Askarraga,Q95611919,ASKARRA KALEA,ASKARRA KALEA,""CALLE"""
6180,ASKARTZA,Ascarza,Q604277,ASKARTZA,ASKARTZA,""ENTIDAD"""
4888,ASPARRENA,Aspárrena,Q1368957,ASPARRENA KALEA,ASPARRENA KALEA,""CALLE"""
6190,ASTEGUIETA,Asteguieta,Q621572,AZTEGIETA,AZTEGIETA,""ENTIDAD"""
440,ASTURIAS,Asturias,Q3934,ASTURIAS KALEA,ASTURIAS KALEA,""CALLE"""
4699,""ATENAS ,PASEO DE"",Atenas,Q1524,ATENAS IBILBIDEA,ATENAS IBILBIDEA,""PASEO"""
4540,ATXO APELLANIZ,Atxo Apellaniz,Q12254451,ATXO APELLANIZ KALEA,ATXO APELLANIZ KALEA,""CALLE"""
