zbk,Gazteleraz,Gazteleraz 2,WIKIDATA,Euskaraz,Euskaraz 2,kale mota
3070,PINTOR IGNACIO DIAZ RUIZ DE OLANO,Ignacio Díaz de Olano,Q12259454,IGNACIO DIAZ RUIZ DE OLANO MARGOLARIAREN K.,IGNACIO DIAZ RUIZ DE OLANO MARGOLARIAREN K.,CALLE
3081,PINTOR JESUS APELLANIZ,Jesús Apellániz,Q60830217,JESUS APELLANIZ MARGOLARIAREN KALEA,JESUS APELLANIZ MARGOLARIAREN KALEA,CALLE
3083,PINTOR JUAN ANGEL SAEZ,Juan Ángel Sáez y García,Q55836865,JUAN ANGEL SAEZ MARGOLARIAREN KALEA,JUAN ANGEL SAEZ MARGOLARIAREN KALEA,CALLE
3085,PINTOR MAURO ORTIZ DE URBINA,Mauro Ortiz de Urbina Uribarren,Q12263271,MAURO ORTIZ DE URBINA MARGOLARIAREN KALEA,MAURO ORTIZ DE URBINA MARGOLARIAREN KALEA,CALLE
3082,PINTOR MIGUEL JIMENO DE LAHIDALGA,Miguel Jimeno de Lahidalga,Q12263573,MIGUEL JIMENO DE LAHIDALGA MARGOLARIAREN KALEA,MIGUEL JIMENO DE LAHIDALGA MARGOLARIAREN KALEA,CALLE
2865,PINTOR OBDULIO LOPEZ DE URALDE,Obdulio López de Uralde y Víllodas,Q114567352,OBDULIO LOPEZ DE URALDE MARGOLARIAREN KALEA,OBDULIO LOPEZ DE URALDE MARGOLARIAREN KALEA,CALLE
3087,PINTOR PABLO URANGA,Pablo Uranga,Q7121778,PABLO URANGA MARGOLARIAREN KALEA,PABLO URANGA MARGOLARIAREN KALEA,CALLE
3080,PINTOR TEODORO DUBLANG,Teodoro Dublang,Q12267890,TEODORO DUBLANG MARGOLARIAREN KALEA,TEODORO DUBLANG MARGOLARIAREN KALEA,CALLE
3088,PINTOR VICENTE ABREU,Vicente Abreu Madariaga,Q113866799,VICENTE ABREU MARGOLARIAREN KALEA,VICENTE ABREU MARGOLARIAREN KALEA,CALLE
3090,PINTORERIA,calle de la Pintorería,Q61365281,PINTORE KALEA,PINTORE KALEA,CALLE
3100,PIO XII,Pío XII,Q2604,PIO XII.AREN KALEA,PIO XII.AREN KALEA,CALLE
3120,POLVORIN VIEJO,calle del Polvorín Viejo,Q115376444,SUTAUSTEGI ZAHARREKO KALEA,SUTAUSTEGI ZAHARREKO KALEA,CALLE
390,PORTAL DE ARRIAGA,portal de Arriaga,Q116193062,ARRIAGAKO ATEA,ARRIAGAKO ATEA,CALLE
4120,PORTAL DE BERGARA,PORTAL DE BERGARA,,BERGARAKO ATEA,BERGARAKO ATEA,CALLE
610,PORTAL DE BETOÑO,portal de Betoño,Q118268962,BETOÑUKO ATEA,BETOÑUKO ATEA,CALLE
850,PORTAL DE CASTILLA,portal de Castilla,Q118266214,GAZTELAKO ATEA,GAZTELAKO ATEA,CALLE
1405,PORTAL DE ELORRIAGA,portal de Elorriaga,Q118601586,ELORRIAGAKO ATEA,ELORRIAGAKO ATEA,CALLE
1601,PORTAL DE FORONDA,portal de Foronda,Q123379037,FORONDAKO ATEA,FORONDAKO ATEA,CALLE
1680,PORTAL DE GAMARRA,portal de Gamarra,Q123136326,GAMARRAKO ATEA,GAMARRAKO ATEA,CALLE
2220,PORTAL DE LASARTE,Lasarte,Q627647,LASARTEKO ATEA,LASARTEKO ATEA,CALLE
4160,PORTAL DE LEGUTIANO,portal de Legutiano,Q116120153,LEGUTIANOKO ATEA,LEGUTIANOKO ATEA,CALLE
4713,PORTAL DE ZUAZO DE VITORIA,Zuazo de Vitoria,Q630975,ZUHATZUKO ATEA,ZUHATZUKO ATEA,CALLE
4340,PORTAL DE ZURBANO,Zurbano,Q2743020,ZURBANOKO ATEA,ZURBANOKO ATEA,CALLE
3130,PORTAL DEL REY,portal del Rey,Q116118516,ERREGE ATEA,ERREGE ATEA,CALLE
4765,"PORTICADA, PLAZA",PORTICADA,,ARKUPEDUNA PLAZA,ARKUPEDUNA PLAZA,PLAZA
3140,POSTAS,POSTAS,,POSTA KALEA,POSTA KALEA,CALLE
3145,"POSTAS, PASAJE DE",POSTAS,,POSTA PASABIDEA,POSTA PASABIDEA,PASAJE
3150,POZOA,POZOA,,POZOA KALEA,POZOA KALEA,CALLE
3160,POZOALDEA,POZOALDEA,,POZOALDEA KALEA,POZOALDEA KALEA,CALLE
4875,POZOANDI,POZOANDI,,POZOANDI KALEA,POZOANDI KALEA,CALLE
4735,"PRAGA , AVENIDA DE",Praga,Q1085,PRAGA HIRIBIDEA,PRAGA HIRIBIDEA,AVENIDA
4929,PRESAGANA,PRESAGANA,,PRESAGANA KALEA,PRESAGANA KALEA,CALLE
4977,"PRESENTACION DE MARIA, JARDINES",Presentación de María ikastetxea,Q16518718,PRESENTACION DE MARIA LORATEGIA,PRESENTACION DE MARIA LORATEGIA,JARDIN
4866,PRIMITIVO HERRERO RUBIO,PRIMITIVO HERRERO RUBIO,,PRIMITIBO HERRERO RUBIO KALEA,PRIMITIBO HERRERO RUBIO KALEA,CALLE
4854,PROSPERO MERIMEE,Prosper Mérimée,Q160333,PROSPER MERIMEE KALEA,PROSPER MERIMEE KALEA,CALLE
3220,PRUDENCIO MARIA VERASTEGUI,Prudencio María Verástegui,Q12266250,PRUDENCIO MARIA BERASTEGI KALEA,PRUDENCIO MARIA BERASTEGI KALEA,CALLE
3230,PUENTE ALTO,puente Alto,Q65935245,ZUBIGARAI KALEA,ZUBIGARAI KALEA,LUGAR
3240,PUERTO DE ALTUBE,puerto de Altube,Q12253249,ALTUBE MENDATEAREN KALEA,ALTUBE MENDATEAREN KALEA,CALLE
3250,PUERTO DE ARLABAN,puerto de Arlabán,Q12254011,ARLABAN MENDATEAREN KALEA,ARLABAN MENDATEAREN KALEA,CALLE
3260,PUERTO DE AZAZETA,Puerto de Azáceta,Q12254561,AZAZETA MENDATEAREN KALEA,AZAZETA MENDATEAREN KALEA,CALLE
3270,PUERTO DE BARAZAR,puerto de Barázar,Q12254767,BARAZAR MENDATEAREN KALEA,BARAZAR MENDATEAREN KALEA,CALLE
3280,PUERTO DE ETXEGARATE,Echegárate,Q12257370,ETXEGARATE MENDATEAREN KALEA,ETXEGARATE MENDATEAREN KALEA,CALLE
3290,PUERTO DE HERRERA,puerto de Herrera,Q12259064,HERRERA MENDATEAREN KALEA,HERRERA MENDATEAREN KALEA,CALLE
3310,PUERTO DE URKIOLA,Parque natural de Urkiola,Q3121058,URKIOLA MENDATEAREN KALEA,URKIOLA MENDATEAREN KALEA,CALLE
3300,PUERTO RICO,Puerto Rico,Q1183,PUERTO RICO KALEA,PUERTO RICO KALEA,CALLE
4557,RAFAEL ALBERTI,Rafael Alberti,Q118936,RAFAEL ALBERTI KALEA,RAFAEL ALBERTI KALEA,CALLE
3320,RAIMUNDO OLABIDE,Raimundo Olavide,Q3417752,ERRAIMUN OLABIDE KALEA,ERRAIMUN OLABIDE KALEA,CALLE
3330,RAMIRO DE MAEZTU,Ramiro de Maeztu,Q1340223,RAMIRO MAEZTU KALEA,RAMIRO MAEZTU KALEA,CALLE
3340,"RAMIRO DE MAEZTU, PASAJE",Ramiro de Maeztu,Q1340223,RAMIRO MAEZTU PASABIDEA,RAMIRO MAEZTU PASABIDEA,PASAJE
2920,RAMON ORTIZ DE ZARATE,Ramón Ortiz de Zárate,Q21333955,RAMON ORTIZ DE ZARATE KALEA,RAMON ORTIZ DE ZARATE KALEA,CALLE
4641,RAMON RUBIAL,Ramón Rubial,Q2608777,RAMON RUBIAL KALEA,RAMON RUBIAL KALEA,CALLE
4711,"REINA SOFIA, AVENIDA",Sofía de Grecia,Q156548,SOFIA ERREGINAREN HIRIBIDEA,SOFIA ERREGINAREN HIRIBIDEA,AVENIDA
4790,"RENACIMIENTO, PLAZA DEL",Renacimiento,Q4692,BERPIZKUNDEAREN PLAZA,BERPIZKUNDEAREN PLAZA,PLAZA
4572,RENE CASSIN,René Cassin,Q232873,RENE CASSIN KALEA,RENE CASSIN KALEA,CALLE
4974,RESURRECCION MARIA DE AZKUE,Resurrección María de Azkue,Q3109903,RESURRECCION MARIA DE AZKUE KALEA,RESURRECCION MARIA DE AZKUE KALEA,CALLE
6680,RETANA,Retana,Q625462,ERRETANA,ERRETANA,ENTIDAD
3360,REYES CATOLICOS,Reyes Católicos,Q186851,ERREGE-ERREGINA KATOLIKOEN KALEA,ERREGE-ERREGINA KATOLIKOEN KALEA,CALLE
3370,REYES DE NAVARRA,REYES DE NAVARRA,,NAFARROAKO ERREGE-ERREGINEN KALEA,NAFARROAKO ERREGE-ERREGINEN KALEA,CALLE
3380,RICARDO BUESA,Ricardo de Apraiz y Buesa,Q84513095,RICARDO BUESA KALEA,RICARDO BUESA KALEA,CALLE
3385,RICARDO PUGA,Ricardo Puga,Q6108422,RICARDO PUGA KALEA,RICARDO PUGA KALEA,CALLE
3386,RICARDO SACRISTAN,Ricardo Sacristán Arrieta,Q76158559,RICARDO SACRISTAN KALEA,RICARDO SACRISTAN KALEA,CALLE
4739,RIGA,Riga,Q1773,RIGA KALEA,RIGA KALEA,CALLE
4569,"RIGOBERTA MENCHU, PLAZA",Rigoberta Menchú,Q188620,RIGOBERTA MENCHU PLAZA,RIGOBERTA MENCHU PLAZA,PLAZA
4722,"RIO ALEGRIA, PASEO DEL",río Alegría,Q95610492,ALEGRIA IBAIAREN IBILBIDEA,ALEGRIA IBAIAREN IBILBIDEA,PASEO
4718,"RIO ALI, SENDA DEL",RIO ALI,,EHARI IBAIAREN ZIDORRA,EHARI IBAIAREN ZIDORRA,SENDA
4631,RIO AYUDA,río Ayuda,Q9071642,UDA IBAIAREN KALEA,UDA IBAIAREN KALEA,CALLE
4629,RIO BARRUNDIA,Barrundia ibaia / Río Barrundia,Q128441613,BARRUNDIA IBAIAREN KALEA,BARRUNDIA IBAIAREN KALEA,CALLE
4630,RIO BAYAS,río Bayas,Q812108,BAIA IBAIAREN KALEA,BAIA IBAIAREN KALEA,CALLE
4634,RIO BERRON,Río Ega-Berron,Q50948282,BERRON IBAIAREN KALEA,BERRON IBAIAREN KALEA,CALLE
4632,RIO EGA,Ega,Q20348,EGA IBAIAREN KALEA,EGA IBAIAREN KALEA,CALLE
4660,RIO EGILETA,Egileta,Q95614900,EGILETA IBAIAREN KALEA,EGILETA IBAIAREN KALEA,CALLE
4657,RIO ERREKABERRI,Errekabarri,Q95615937,ERREKABERRI IBAIAREN KALEA,ERREKABERRI IBAIAREN KALEA,CALLE
4635,RIO INGLARES,Inglares,Q12261102,INGLARES IBAIAREN KALEA,INGLARES IBAIAREN KALEA,CALLE
4659,RIO ISTORA,Istora,Q95618928,ISTORA IBAIAREN KALEA,ISTORA IBAIAREN KALEA,CALLE
4647,RIO ITURRIZABALETA,Iturzabaleta,Q95619158,ITURRIZABALETA IBAIAREN KALEA,ITURRIZABALETA IBAIAREN KALEA,CALLE
4663,RIO IZKIZ,RIO IZKIZ,,IZKIZ IBAIAREN KALEA,IZKIZ IBAIAREN KALEA,CALLE
4643,RIO NERVION,Nervión,Q14353,NERBIOI IBAIAREN KALEA,NERBIOI IBAIAREN KALEA,CALLE
4664,RIO OKA,Río Oka,Q3112695,OKA IBAIAREN KALEA,OKA IBAIAREN KALEA,CALLE
4633,RIO OMECILLO,Omecillo,Q12265159,OMECILLO IBAIAREN KALEA,OMECILLO IBAIAREN KALEA,CALLE
4644,RIO OSEGARPE,Osegarpe,Q95629027,OSEGARPE IBAIAREN KALEA,OSEGARPE IBAIAREN KALEA,CALLE
4646,RIO PURON,Río Purón,Q9072068,PURON IBAIAREN KALEA,PURON IBAIAREN KALEA,CALLE
4658,RIO SABANDO,Río Sabando,Q108913910,SABANDO IBAIAREN KALEA,SABANDO IBAIAREN KALEA,CALLE
4636,RIO SANTA ENGRACIA,río Santa Engracia,Q20829805,SANTA ENGRAZIA IBAIAREN KALEA,SANTA ENGRAZIA IBAIAREN KALEA,CALLE
3387,"RIO SANTO TOMAS, PLAZA DEL",Río Santo Tomás,Q111965517,SANTO TOMAS IBAIKO PLAZA,SANTO TOMAS IBAIKO PLAZA,PLAZA
4648,RIO UGALDE,Ugalde,Q95629880,UGALDE IBAIAREN KALEA,UGALDE IBAIAREN KALEA,CALLE
4628,RIO URAGANA,RIO URAGANA,,URAGANA IBAIAREN KALEA,URAGANA IBAIAREN KALEA,CALLE
4625,RIO UREDERRA,Urederra,Q3822262,UREDERRA IBAIAREN KALEA,UREDERRA IBAIAREN KALEA,CALLE
4626,RIO ZAIA,Río Zalla,Q113367117,ZAIA IBAIAREN KALEA,ZAIA IBAIAREN KALEA,CALLE
4627,RIO ZUBIALDE,RIO ZUBIALDE,,ZUBIALDE IBAIAREN KALEA,ZUBIALDE IBAIAREN KALEA,CALLE
3390,RIOJA,La Rioja,Q5727,ERRIOXA KALEA,ERRIOXA KALEA,CALLE
4685,"ROMA ,AVENIDA DE",Roma,Q220,ERROMA HIRIBIDEA,ERROMA HIRIBIDEA,AVENIDA
4534,RONCESVALLES,Roncesvalles,Q917891,ORREAGA KALEA,ORREAGA KALEA,CALLE
4637,ROSALIA DE CASTRO,Rosalía de Castro,Q464264,ROSALIA DE CASTRO KALEA,ROSALIA DE CASTRO KALEA,CALLE
3410,SALBATIERRABIDE,calle de Salbatierrabide,Q123513383,SALBATERRABIDE,SALBATERRABIDE,CALLE
3411,"SALBURUA, PARQUE",Salburua,Q27127307,SALBURUKO PARKEA,SALBURUKO PARKEA,PARQUE
4806,"SALINILLAS DE BURADON, PARQUE DE",Salinillas de Buradón,Q2743634,BURADON GATZAGA PARKEA,BURADON GATZAGA PARKEA,PARQUE
3393,"SALVADOR ALLENDE, SENDA DE",Salvador Allende,Q440,SALVADOR ALLENDE ZIDORRA,SALVADOR ALLENDE ZIDORRA,SENDA
4802,SALVADOR DALI,Salvador Dalí,Q5577,SALVADOR DALI KALEA,SALVADOR DALI KALEA,CALLE
3395,"SALVADOR DE AZPIAZU, PASEO DE",Salvador Azpiazu,Q18132983,SALVADOR AZPIAZU IBILBIDEA,SALVADOR AZPIAZU IBILBIDEA,PASEO
1695,SALVADOR GARCIA DEL DIESTRO,SALVADOR GARCIA DEL DIESTRO,,SALVADOR GARCIA DEL DIESTRO KALEA,SALVADOR GARCIA DEL DIESTRO KALEA,CALLE
4926,SAN ANDRES,Andrés el Apóstol,Q43399,SAN ANDRES KALEA,SAN ANDRES KALEA,CALLE
3430,"SAN ANTON, PLAZA",Antonio Abad,Q170547,SAN ANTON PLAZA,SAN ANTON PLAZA,PLAZA
3440,SAN ANTONIO,SAN ANTONIO,,SAN ANTONIO KALEA,SAN ANTONIO KALEA,CALLE
4971,"SAN ANTONIO MARIA CLARET, PLAZA",Antonio María Claret,Q162973,SAN ANTONIO MARIA CLARET PLAZA,SAN ANTONIO MARIA CLARET PLAZA,PLAZA
3450,"SAN BARTOLOME, ESCALERAS DE",Bartolomé el Apóstol,Q43982,SAN BARTOLOMEKO ESKAILERAK,SAN BARTOLOMEKO ESKAILERAK,ESCALERA
3470,"SAN CRISTOBAL, PLAZA DE",Cristóbal de Licia,Q193507,SAN KRISTOBAL PLAZA,SAN KRISTOBAL PLAZA,PLAZA
3490,SAN FRANCISCO,Francisco Apóstol,Q120936381,SAN FRANTZISKO KALEA,SAN FRANTZISKO KALEA,CALLE
