sourcelangs,targetlangs,lcrqid,lcrLabel,date,authors
"spa,eus","spa,eus",Q33433,3000 hiztegia,1996,Gotzon Aurrekoetxea; Txomin Solabarrieta; Juan Luis Goikoetxea; Ricardo Badiola; Patxi Uribarren; Luis Baraiazarra
deu,lat,Q16151,A - Biermolke,1984,Jacob Grimm; Wilhelm Grimm
deu,lat,Q16151,A - Biermolke,1854,Jacob Grimm; Wilhelm Grimm
"spa,eus","spa,eus",Q33432,Adorez 5000 hiztegia,2009,
,,Q33496,Auñamendi erdal-euskal iztegia / Auñamendi diccionario español-vasco,1965,
,,Q33495,Axular-en Hiztegia. Euskara - español - français,1973,Luis Villasante
"nl,eus","nl,eus",Q33481,"Baskisch-Nederlands, Nederlands-Baskisch = Euskara-nederlandera, nederlandera-euskara",1996,W. H. Jansen
eus,en,Q33479,Basque-English Dictionary,1989,Gorka Aulestia
"eus,en","en,eus",Q33519,"Basque-English, English-Basque Dictionary",1992,Linda White; Gorka Aulestia
"eus,en","en,eus",Q33518,"Basque-English, English-Basque Pocket Dictionary",1992,Linda White; Gorka Aulestia
,,Q16152,Biermörder - D,1984,Wilhelm Grimm; Jacob Grimm
,,Q16152,Biermörder - D,1860,Wilhelm Grimm; Jacob Grimm
"eus,en","en,eus",Q33514,"CBS Morris Euskara-Ingelesa, English-Basque compact dictionary",2010,Mikel Morris
,,Q16143,Deutsches Wörterbuch 1984 collection,1984,Wilhelm Grimm; Jacob Grimm
,,Q16228,Deutsches Wörterbuch Digital,2004,Jacob Grimm; Hans-Werner Bartz; Wilhelm Grimm
,,Q16228,Deutsches Wörterbuch Digital,2007,Jacob Grimm; Wilhelm Grimm
"eus,es","es,eus",Q33431,"Diccionario ""IKAS"" Euskera-Castellano Castellano-Euskara. Dialectos vizcaíno y guipuzcoano",1976,José Antonio Montiano; José Ramón Urquijo
,,Q33428,"Diccionario Retana de autoridades de la lengua vasca: con cientos de miles de nuevas voces y acepciones, antiguas y modernas ...",1976,Lino Akesolo; Manuel Sota; Pierre Lafitte
eus,es,Q33434,Diccionario basco-español [sic] titulado euskeratik erderara biurtzeco itztegia,1989,José Francisco Aizkibel
eus,es,Q33430,Diccionario basco-español titulado euskeratik erderara biurtzeco itztegia,1883,José Francisco Aizquibel
es,eus,Q33429,"Diccionario castellano-euzkera / Bera'tar Eroman Mirena aba, buruñurduna. Euzkel-erdel iztegia / López Mendizabal'dar Ixaka.",1916,Ixaka López-Mendizabal; Erroman Bera
,,Q33485,Diccionario general y técnico,1977,Luis María Múgica Urdangarín
es,"eus,la",Q16237,"Diccionario trilingüe castellano, bascuence y latin dedicado a la M.N. y M.L. provincia de Guipuzcoa",1984,Manuel Larramendi
es,"eus,la",Q16237,"Diccionario trilingüe castellano, bascuence y latin dedicado a la M.N. y M.L. provincia de Guipuzcoa",1745,Manuel Larramendi
es,"eus,la",Q16238,"Diccionario trilingüe castellano, bascuence y latin dedicado á la M.N. y M.L. provincia de Guipuzcoa",1853,Manuel Larramendi
eus,es,Q33427,Diccionario vasco-castellano,1981,Plácido Múgica Berrondo
eus,es,Q33426,Diccionario vasco-español,1962,Isaac López-Mendizábal
eus,"es,fr",Q33425,Diccionario vasco-español-francés 1905-06,1984,Resurrección María Azkue
"eus,fr","fr,eus",Q33508,"Dictionnaire Elhuyar = Elhuyar hiztegia: euskara-frantsesa, français-basque",2012,
"eus,fr","fr,eus",Q33486,"Dictionnaire Elhuyar hiztegia: euskara-frantsesa, français-basque",2007,Iñaki Pikabea; Ainara Ondarra; Elixabete Etxeberria; Amaia Astobiza; Gexan Alfaro
,,Q33498,Dictionnaire basque des Pyrénées,2012,Jean d' Arango
eus,fr,Q33499,Dictionnaire basque pour tous,1975,Marie Jeanne Minaberry; Manuel Michelena
fr,eus,Q33509,Dictionnaire basque pour tous 2 Franc̜ais - basque,1982,Marijane Minaberry; Manuel Michelena
,,Q33500,"Dictionnaire basque, français, espagnol et latin D'après les meilleurs auteurs classiques et les Dictionnaires des Académies française et espagnole ..",1856,J. Augustin Chaho
,,Q33480,Dictionnaire basque-français,1873,Willem J. Eys
,,Q33503,"Dictionnaire basque-français (dialectes labourdin, bas-navarrais et souletin)",2019,Pierre Lhande
,,Q33505,Dictionnaire basque-français et français-basque,2001,Pierre Lhande
,,Q33424,"Dictionnaire basque-français et français-basque: dialectes Labourdin, Bas-Navarrais et Souletin",1926,Pierre Lhande
eus,fr,Q33512,"Dictionnaire basque-français, par Silvain Pouvreau, prêtre du diocèse de Bourges",1601,
fr,eus,Q33510,Dictionnaire français-basque,1936,Fenaille Mispiratzeguy
,,Q33504,"Dictionnaire français-basque, par M.-H.-L. Fabre",1870,Louise-Marie-Hyacinthe Fabre
,,Q33501,Dictionnaire thématique de culture et civilisation basques,2001,Peio Etcheverry-Ainchart; Alexandre Hurel
"eus,ru","ru,eus",Q33493,"Elhuyar hiztegia: Euskara-errusiera, errusiera-euskara hiztegia",1997,Roberto Serrano; Xabier Kintana; Xabier Mendiguren; Elena Aparicio
"eus,es","eus,es",Q33421,"Elhuyar hiztegia: euskara-gaztelania, castellano-vasco",2006,
"eus,es","eus,es",Q33422,"Elhuyar hiztegia: euskara-gaztelania, castellano-vasco",2000,
"eus,es","eus,es",Q33423,"Elhuyar hiztegia: euskara-gaztelania, castellano-vasco",1996,
en,eus,Q33520,English Basque Dictionary,1990,Linda White; Gorka Aulestia
en,eus,Q33521,English-Basque Dictionary,2021,Gorka Aulestia; Linda White
"eus,es","eus,es",Q33491,"Eskolako hiztegia: Euskara-Gaztelania, Castellano-Euskara",2003,Ibon Sarasola
eus,de,Q33516,"Etymologisches Wörterbuch der baskischen Sprache: Dialekte von Labourd, Nieder-Navarra und La Soule",2014,Martin Löpelmann
eus,de,Q33517,"Etymologisches Wörterbuch der baskischen Sprache: Dialekte von Labourd, Nieder-Navarra und La Soule. Bd. 1. A-K. Bd. 2. L-Z",1968,Martin Löpelmann
,,Q33420,Europa Hiztegia: Eskola Berrirakoa,1993,Patxi Uribarren; Juan Luis Goikoetxea; Txomin Solabarrieta; Gotzon Aurrekoetxea; Ricardo Badiola; Luis Baraiazarra
,,Q33418,Euskal Hiztegi Modernoa,1977,
,,Q33419,Euskal Hiztegi Modernoa,2000,
,,Q33417,Euskal Hiztegia,2007,Ibon Sarasola
,,Q33489,Euskal Hiztegia,1997,Ibon Sarasola
,,Q33490,Euskal Hiztegia,1996,Ibon Sarasola
,,Q33506,Euskal izendegia: Ponte izendegia = Diccionario de nombres de pila = Dictionnaire des prénoms,2001,Francisco Javier Salaberri Zaratiegui; Mikel Gorrotxategi Nieto
,,Q33416,Euskaltzaindiaren Hiztegia: Adierak Eta Adibideak,2012,
"eus,de","de,eus",Q33404,Euskara Alemana Hiztegia,2007,Elena Martínez Rubio
,,Q33415,Euskara Ikaslearen Hiztegia,1999,Ibon Sarasola
"eus,en","eus,en",Q33414,Euskara-Ingelesa Ingelesa-Euskara Hiztegia,1992,Gorka Aulestia; Linda White
eus,"fr,es,la",Q33487,Euskara-frantses(-latin-gaztelaniazko) hiztegia,1665,Silvain Pouvreau
,,Q33413,Euskararako Hiztegia,1986,Gotzon Aurrekoetxea; Ricardo Badiola; Juan Luis Goikoetxea; Patxi Uribarren; Txomin Solabarrieta; Luis Baraiazarra
,,Q33412,Euzkel-iztegitxua / Beratar Erroman Aba,1909,Erroman Bera
,,Q33488,Gaurko euskara idatziaren maiztasun-hiztegia: 1977ko corpus batean oinarritua,1982,Ibon Sarasola
,,Q33411,Hauta-Lanerako euskal hiztegia,1994,Ibon Sarasola
,,Q33409,Hiztegi Batua,2010,
,,Q33410,Hiztegi Batua,2000,
"eus,es","es,eus",Q33408,"Hiztegia 80: euskara-espainiera, espainiera-euskara, vasco- español, español-vasco",1980,Jon Aurre; Koldo Zuazo; Sabin Egileor; Juanjo Zearreta; Rikardo Badiola; Xabier Kintana; Juan Luis Goikoetxea
"eus,es","es,eus",Q33407,"Hiztegia bi mila:  euskara-espainiera espainiera-euskara, vasco-español español-vasco",1984,Rikardo Badiola; Juanjo Zearreta; Xabier Kintana; Jon Aurre; Sabin Egileor; Juan Luis Goikoetxea; Koldo Zuazo
,,Q33406,Ikaslearen Hiztegia,2001,
,,Q33502,Izendegia = Diccionario de nombres vascos = Dictionnaire des prénoms basques,1999,Charles Videgain
eus,es,Q33497,Iztegi erdera-euskera,1986,Txomin Iakakortexarena
eus,es,Q33513,Iztegi erdera-euskera,1964,Txomin Iakakortexarena
,,Q33405,LUR Eskolarako hiztegi entziklopedikoa,1996,
,,Q33511,"Le petit ivre rouge: le dictionnaire du zingueur international en 18 langues : français, allemand, anglais, basque, espagnol, finnois, hongrois, italien, japonais, mongol, polonais, roumain, russe, serbo-croate, souhaéli, tchèque, yiddish, syldave tantrique",2011,Franyo Aatoth
,,Q33494,Lexique français-basque,1954,André Tournier; Pierre Lafitte
"en,eus","eus,en",Q33484,"Morris pocket : euskara-ingelesa, English-Basque",1998,Mikel Morris
,,Q33515,"Morris pocket plus, hiztegia-dictionary",2012,Mikel Morris
,,Q16116,Oxford English dictionary on CD-ROM version 3.01,2002,
,,Q16112,Oxford English dictionary on CD-ROM version 4.0,2009,
,,Q16113,Oxford English dictionary: OED,2003,
,,Q16115,Paperback Oxford English dictionary,2006,
,,Q33507,Petit dictionnaire insolite du basque et des Basques,2013,José-Manuel Lamarque
,,Q16118,Shorter Oxford English dictionary: on historical principles,2007,
,,Q16117,The New shorter Oxford English dictionary,1999,
,,Q16097,The Oxford English Dictionary,1933,Various Various
,,Q16111,The Oxford English Dictionary,1989,E. S. C. Weiner; J. A. Simpson
,,Q16128,The Oxford English dictionary on CD-ROM,1987,
,,Q16127,The new Oxford dictionary of English,1998,Judy Pearsall
,,Q16119,The new shorter Oxford English dictionary on historical principles,1994,
,,Q16114,The paperback Oxford English dictionary,2010,
"de,eu","de,eu",Q33482,Wörterbuch des Baskischen,1999,Helmut Kühnel
es,eus,Q33492,Zehazki: gaztelania-euskara hiztegia = diccionario castellano-euskera,2005,Ibon Sarasola
