order,prop,propLabel,datatype,wikidata_prop,zotero,ontologyprop,
1,P1,LexBib v2 legacy ID,ExternalId,,,,
2,P2,wikidata entity,ExternalId,,,x,
3,P3,formatter url,String,P1630,,x,
4,P4,subclass of,WikibaseItem,P279,,x,
5,P5,instance of,WikibaseItem,P31,,x,
6,P6,title,Monolingualtext,P1476,title,x,
7,P7,property constraint,WikibaseItem,P2302,,,
8,P8,container title,String,,,,
9,P9,containing BibCollection,WikibaseItem,P361,,,
10,P10,place of publication,WikibaseItem,P291,,,
11,P11,publication language,WikibaseItem,P407,language,,
12,P12,author,WikibaseItem,P50,author,,
13,P13,editor,WikibaseItem,P98,editor,,
14,P14,publication place literal,String,,publisher-place,,
15,P15,publication date,Time,P577,issued,,
16,P16,LexBib Zotero item,ExternalId,,,x,
17,P17,DOI,ExternalId,P356,DOI,,
18,P18,ISBN-13,ExternalId,P212,isbn,,
19,P19,ISBN-10,ExternalId,P957,isbn,,
20,P20,ISSN,ExternalId,P236,issn,,
21,P21,distribution location,Url,P953,,,
22,P22,volume,String,P478,volume,,
23,P23,issue,String,P433,issue,,
24,P24,page(s),String,P304,page,,
25,P25,is review of,WikibaseItem,P6977,,,
26,P26,reviewed in,WikibaseItem,,,,
27,P27,subject,WikibaseItem,P921,,,
28,P28,part of,WikibaseItem,P361,,,
29,P29,first author location,WikibaseItem,,,,
30,P30,part of conference series,WikibaseItem,P361,,,
31,P31,has part,WikibaseItem,P527,,,
32,P32,ISO 639-3 code,ExternalId,P220,,,
33,P33,series ordinal,String,P1545,,,
34,P34,reserved (url),Url,,,,
35,P35,publisher,WikibaseItem,P123,publisher,,
36,P36,event,WikibaseItem,P5072,,,*
37,P37,external superproperty,Url,P2235,,,
38,P38,source literal,String,,,,
39,P39,ORCID,ExternalId,P496,,,
40,P40,given name source literal,String,,,,
41,P41,family name source literal,String,,,,
42,P42,LexMeta OWL equivalent,Url,,,,
43,P43,wikimedia language code,String,P424,,,
44,P44,official website,Url,P856,,,
45,P45,country of origin,WikibaseItem,P495,,,
46,P46,part of journal,WikibaseItem,P361,,,
47,P47,different from,WikibaseItem,P1889,,,
48,P48,range,WikibaseItem,,,,
49,P49,subclass of external,Url,,,,
50,P50,location,WikibaseItem,P276,,,
51,P51,VIAF ID,ExternalId,P214,,,
52,P52,date of birth,Time,P569,,,
53,P53,date of death,Time,P570,,,
54,P54,ISO 4 abbreviation,ExternalId,P1160,,,
55,P55,has distribution,WikibaseItem,,,,
56,P56,object language,WikibaseItem,,,,
57,P57,external equivalent entity,Url,,,,
58,P58,RESERVED3 (url),Url,,,,
59,P59,media part,WikibaseItem,,,,
60,P60,distribution of,WikibaseItem,,,,
61,P61,is described by term,WikibaseItem,,,,
62,P62,OCLC,ExternalId,P243,extra,,*
63,P63,is continued by LCR,WikibaseItem,,,,
64,P64,edition number,String,P393,edition,,
65,P65,country,WikibaseItem,P17,,,
66,P66,English Wikipedia article URL,Url,,,,
67,P67,RESERVED2 (string),String,,,,
68,P68,start date,Time,P580,,,
69,P69,end date,Time,P582,,,
70,P70,LexBib fulltext PDF,ExternalId,,,,
71,P71,LexBib fulltext TXT,ExternalId,,,,
72,P72,skos:broader,WikibaseItem,,,,
73,P73,skos:narrower,WikibaseItem,,,,
74,P74,member of collection,WikibaseItem,,,,
75,P75,subject of,WikibaseItem,,,,
76,P76,skos:closeMatch,WikibaseItem,,,,
77,P77,skos:related,WikibaseItem,,,,
78,P78,skos:exactMatch,WikibaseItem,,,,
79,P79,skos:hasTopConcept,WikibaseItem,,,,
80,P80,skos:definition,String,,,,
81,P81,skos:note,String,,,,
82,P82,frequency score,String,,,,
83,P83,source,WikibaseItem,P1343,,,
84,P84,source name,String,,,,
85,P85,Elexifinder collection,String,,,,
86,P86,BabelNet Synset ID,ExternalId,P2581,,,
87,P87,mapping confidence score,String,,,,
88,P88,corpus keyword,String,,,,
89,P89,skos:inScheme,WikibaseItem,,,,
90,P90,dictionary scope type,WikibaseItem,,,,
91,P91,distribution type,WikibaseItem,,,,
92,P92,mention count,String,,,,
93,P93,relative frequency,String,,,,
94,P94,inverse property,WikibaseProperty,P1696,,,
95,P95,subproperty of,WikibaseProperty,P1647,,,
96,P96,contains term,WikibaseItem,,,,
97,P97,short title,String,,,,
98,P98,skos:isTopConceptOf,WikibaseItem,,,,
99,P99,ISO-639-1 language code,ExternalId,P218,,,
100,P100,bibitem type,WikibaseItem,,,,
101,P101,preferred given name,String,,,,
102,P102,preferred family name,String,,,,
103,P103,coordinate location,GlobeCoordinate,P625,,,
104,P104,inception,Time,P571,,,
105,P105,contains abstract in,WikibaseItem,,,,
106,P106,LexBib v1 legacy ID,String,,,,
107,P107,organizer,WikibaseItem,P664,,,
108,P108,source URI,Url,,,,
109,P109,occurs in # of LexBib BibItems,String,,,,
110,P110,obelex literal,String,,,,
111,P111,BibCollection landing page,Url,,,,
112,P112,access location,Url,P953,URL,,
113,P113,download location,Url,P953,URL,,
114,P114,extratextual information,WikibaseItem,,,,
115,P115,linguality type,WikibaseItem,,,,
116,P116,RESERVED3 (string),String,,,,
117,P117,sent to LexVoc Lexonomy,Time,,,,
118,P118,has realisation,WikibaseItem,,,,
119,P119,lexicographical process type,WikibaseItem,,,,
120,P120,dictionary function type,WikibaseItem,,,,
121,P121,dictionary access type,WikibaseItem,,,,
122,P122,metalanguage,WikibaseItem,,,,
123,P123,LCR subclass,WikibaseItem,,,,
124,P124,is replaced with,WikibaseItem,,,,
125,P125,part of LCR,WikibaseItem,,,,
126,P126,year of publication,String,,,,
127,P127,microstructure feature,WikibaseItem,,,,
128,P128,translation status,String,,,,
129,P129,prefLabel translation,Monolingualtext,,,,
130,P130,altLabel translation,Monolingualtext,,,,
131,P131,is facet of,WikibaseItem,,,,
