lh	lh_id	wd	wd_id
https://lhenguabase.wikibase.cloud/entity/P2	P2	http://www.wikidata.org/entity/P1630	P1630
https://lhenguabase.wikibase.cloud/entity/P3	P3	http://www.wikidata.org/entity/P361	P361
https://lhenguabase.wikibase.cloud/entity/P4	P4	http://www.wikidata.org/entity/P279	P279
https://lhenguabase.wikibase.cloud/entity/P5	P5	http://www.wikidata.org/entity/P31	P31
https://lhenguabase.wikibase.cloud/entity/Q4	Q4	http://www.wikidata.org/entity/Q13330	Q13330
https://lhenguabase.wikibase.cloud/entity/Q3	Q3	http://www.wikidata.org/entity/Q33742	Q33742
https://lhenguabase.wikibase.cloud/entity/Q6	Q6	http://www.wikidata.org/entity/Q1084	Q1084
https://lhenguabase.wikibase.cloud/entity/Q8	Q8	http://www.wikidata.org/entity/Q34698	Q34698
https://lhenguabase.wikibase.cloud/entity/L1408	L1408	http://www.wikidata.org/entity/L8351	L8351
https://lhenguabase.wikibase.cloud/entity/L1428	L1428	http://www.wikidata.org/entity/L307311	L307311
https://lhenguabase.wikibase.cloud/entity/L1479	L1479	http://www.wikidata.org/entity/L1126203	L1126203
https://lhenguabase.wikibase.cloud/entity/L1125	L1125	http://www.wikidata.org/entity/L1216040	L1216040
https://lhenguabase.wikibase.cloud/entity/L1124-S1	L1124-S1	http://www.wikidata.org/entity/L1216005	L1216005
https://lhenguabase.wikibase.cloud/entity/L636	L636	http://www.wikidata.org/entity/L1216044	L1216044
https://lhenguabase.wikibase.cloud/entity/L265	L265	http://www.wikidata.org/entity/L1216007	L1216007
https://lhenguabase.wikibase.cloud/entity/L571	L571	http://www.wikidata.org/entity/L1216009	L1216009
https://lhenguabase.wikibase.cloud/entity/L212	L212	http://www.wikidata.org/entity/L1216000	L1216000
https://lhenguabase.wikibase.cloud/entity/L37	L37	http://www.wikidata.org/entity/L1216004	L1216004
https://lhenguabase.wikibase.cloud/entity/L1517	L1517	http://www.wikidata.org/entity/L1216045	L1216045
https://lhenguabase.wikibase.cloud/entity/L1569	L1569	http://www.wikidata.org/entity/L1216042	L1216042
https://lhenguabase.wikibase.cloud/entity/L352	L352	http://www.wikidata.org/entity/L1126204	L1126204
https://lhenguabase.wikibase.cloud/entity/L986-S1	L986-S1	http://www.wikidata.org/entity/L1126206	L1126206
https://lhenguabase.wikibase.cloud/entity/L926	L926	http://www.wikidata.org/entity/L1216035	L1216035
https://lhenguabase.wikibase.cloud/entity/L792	L792	http://www.wikidata.org/entity/L1216011	L1216011
https://lhenguabase.wikibase.cloud/entity/L1369	L1369	http://www.wikidata.org/entity/L1216002	L1216002
https://lhenguabase.wikibase.cloud/entity/L190	L190	http://www.wikidata.org/entity/L1216038	L1216038
https://lhenguabase.wikibase.cloud/entity/L1508	L1508	http://www.wikidata.org/entity/L1216013	L1216013
https://lhenguabase.wikibase.cloud/entity/L302	L302	http://www.wikidata.org/entity/L1216041	L1216041
https://lhenguabase.wikibase.cloud/entity/L1217	L1217	http://www.wikidata.org/entity/L1216016	L1216016
https://lhenguabase.wikibase.cloud/entity/L293	L293	http://www.wikidata.org/entity/L1216021	L1216021
https://lhenguabase.wikibase.cloud/entity/L546	L546	http://www.wikidata.org/entity/L1216039	L1216039
