testu_hitza	lemma	paragrafoa	testuingurua
cada		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
una		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Dènos razon del residuo, y en èl facilmente le distinguiremos lo que es dialecto.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#3	Vea aora, si en este residuo de voces sale por ventura un capital de las reliquias de muchas Lenguas antiguas: y si por ventura, ò por desgracia no sale tal cosa, apliquese algun remedio capital, que le sossiegue la turbacion de su fantasìa.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#3	Vea aora, si en este residuo de voces sale por ventura un capital de las reliquias de muchas Lenguas antiguas: y si por ventura, ò por desgracia no sale tal cosa, apliquese algun remedio capital, que le sossiegue la turbacion de su fantasìa.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#3	Vea aora, si en este residuo de voces sale por ventura un capital de las reliquias de muchas Lenguas antiguas: y si por ventura, ò por desgracia no sale tal cosa, apliquese algun remedio capital, que le sossiegue la turbacion de su fantasìa.
de		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#3	Vea aora, si en este residuo de voces sale por ventura un capital de las reliquias de muchas Lenguas antiguas: y si por ventura, ò por desgracia no sale tal cosa, apliquese algun remedio capital, que le sossiegue la turbacion de su fantasìa.
las		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
las		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
las		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
las		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
las		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#3	Vea aora, si en este residuo de voces sale por ventura un capital de las reliquias de muchas Lenguas antiguas: y si por ventura, ò por desgracia no sale tal cosa, apliquese algun remedio capital, que le sossiegue la turbacion de su fantasìa.
naciones		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	] Cada una de las Naciones dominantes, y vecinas apropriese sus voces: y aunque ayan muerto los Lacones, Erulos, Godos, Romanos, y otros, no importa: que resuciten á este imperio de Mayans, y vengan de nuevo á Cantabria à la pesquisa de sus voces.
naciones		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Essa serà una cosa mui facil, à lo menos entrando Mayans à pesquisidor, y plenipotenciario de essas Naciones difuntas, cuyas Lenguas las tendrà en la uña.
naciones		https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#1	Entre tanto vayan unas quantas voces del uso mas obvio, y vulgar sin distincion ninguna de dialectos, y diganos, á que Naciones se deben apropriar, ó si pertenecen al residuo.
