lemma,mlv_lid
aar,L113
aaztru,L150
aaztumen,L154
aba,L155
ababor,L156
abad,L157
abade,L158
abadegai,L159
abadegi,L160
abadegintza,L161
abadego,L162
abadeki,L163
abadekuntza,L164
abadesa,L165
abadetar,L166
abadetasun,L167
abadetegi,L168
abadetu,L169
abadetza,L170
abadia,L171
abadota,L172
abagadaldi,L173
abagune,L174
abaildu,L180
abaildura,L181
abailera,L182
abajatu,L183
abakando,L184
abakondo,L185
abalu,L186
abaña,L206
abandonamendu,L187
abandonatu,L188
abant,L191
abantada,L192
abantaila,L193
abantailatsu,L194
abantailatu,L195
abantailatuki,L196
abantailos,L197
abantailoski,L198
abantalde,L199
abantari,L200
abantatu,L201
abantzamendu,L202
abantzatu,L203
abantzu,L204
abantzuño,L205
abao,L207
abar,L208
abarats,L209
abarauts,L210
abareta,L211
abargia,L212
abario,L213
abarizia,L214
abarizios,L215
abarizketa,L216
abarka,L217
abarkadabu,L218
abarkadun,L219
abarkagile,L220
abarkagintza,L221
abarkari,L222
abarkatu,L223
abarketa,L224
abarketadun,L225
abarketari,L226
abaro,L227
abaroaldi,L228
abaroleku,L229
abarotoki,L230
abarotsu,L231
abarrada,L232
abarrakitu,L233
abarrarte,L234
abarraxe,L235
abarreria,L236
abarreztatu,L237
abarrikatu,L238
abarroska,L239
abarrots,L240
abarrotslari,L241
abartegi,L242
abartoki,L243
abartsu,L244
abartu,L245
abartxo,L246
abarxka,L247
abarxkila,L248
abasberuan,L249
abastant,L250
abastoki,L251
abastu,L252
abat,L253
abatako,L254
abatari,L255
abatatu,L256
abatetxe,L257
abatorraze,L258
abatz,L259
abauts,L260
abaxamendu,L261
abaxatu,L262
abaxu,L263
abazera,L264
abazeria,L265
abazeru,L266
abazkatu,L267
abazuza,L268
abazuzaka,L269
abazuzi,L270
abegi,L273
abegiar,L274
abegitasun,L275
abegitsu,L276
abegor,L277
abegortu,L278
abegune,L279
abekatu,L280
abel,L282
abela,L283
abelari,L284
abelarri,L285
abelarte,L286
abelburu,L287
abeldi,L288
abeldun,L289
abelera,L290
abeletxe,L291
abelgorri,L292
abeljale,L293
abelkera,L294
abelkume,L295
abelmutu,L296
abelpe,L297
abeltegi,L298
abeltxe,L299
abeltzain,L300
abeltzaintza,L301
abeltzale,L302
abemarietako,L303
abenda,L304
abenderri,L305
abendu,L306
abenikoa,L307
abenitu,L308
abenka,L309
abentau,L310
aberasbide,L311
aberasgai,L312
aberasgarri,L313
aberasgoa,L314
aberaska,L315
aberaskeria,L316
aberasketa,L317
aberaski,L318
aberaskiro,L319
aberaskitegi,L320
aberaskitza,L321
aberaskizun,L322
aberasko,L323
aberaskume,L324
aberastasun,L325
aberaste,L326
aberastu,L327
aberastura,L328
aberats,L329
aberatsaile,L330
aberatserazi,L331
aberatserazitzaile,L332
aberatsi,L333
aberbio,L334
abere,L335
aberedi,L336
aberegaitasun,L337
abereil,L338
aberekeria,L339
abereketa,L340
abereki,L341
aberekinde,L342
aberekor,L343
aberekuntza,L344
abereño,L346
aberentü,L345
aberero,L347
aberetar,L348
aberetasun,L349
aberete,L350
abereti,L351
aberetsu,L352
aberetu,L353
aberetxo,L354
aberetza,L355
aberetzar,L356
aberexka,L357
aberezko,L358
aberi,L359
aberkide,L360
aberkoi,L361
aberri,L362
abertentzi,L363
abertimendu,L364
abertitu,L365
abertzai,L366
abertzale,L367
abertzalego,L368
abertzalekeria,L369
abertzaletasun,L370
abertzaletu,L371
abes,L372
abesau,L373
abesbatza,L374
abesbeluan,L375
abesgai,L376
abeska,L377
abeskera,L378
abeskide,L379
abeskunde,L380
abeslari,L381
abesle,L382
abestaldi,L383
abesti,L384
abestiño,L385
abestu,L386
abetaldu,L387
abetalpen,L388
abeurrea,L391
abeze,L392
abezekiro,L393
abia,L394
abiaburu,L396
abiada,L397
abiadura,L398
abiaginean,L399
abiagune,L400
abiajon,L401
abiakera,L402
abialdi,L403
abiamen,L404
abian,L405
abiarazi,L407
abiatu,L409
abiatzaile,L412
abiatze,L413
abiduri,L414
abigorri,L415
abijoi,L416
abil,L417
abilamendu,L418
abilarri,L419
abilatu,L420
abildu,L421
abileta,L422
abilezia,L423
abilidade,L424
abilkeria,L425
abilki,L426
abiltasun,L427
abilua,L428
abioi,L430
abiondoko,L431
abirazai,L433
abiroin,L434
abisa,L435
abisatu,L436
abisatzaile,L437
abismatu,L438
abisme,L439
abistu,L440
abistuka,L441
abisu,L442
abitu,L445
abixeta,L446
abixoi,L447
abixon,L448
abixonka,L449
abizen,L450
abo,L451
aboatu,L452
abogadu,L453
abogadutza,L454
abogatu,L455
abonadu,L456
abonamendu,L457
abondanki,L458
abondant,L459
abondantzia,L460
abondo,L461
abonitu,L462
abonu,L463
abor,L464
abori,L465
aborrentzi,L468
