line	lid	adib	headword	normalized	aftercomma
1	multiword_mainentry	0	1 -a	-a
2	multiword_mainentry	1	2 -a	-a
3	multiword_mainentry	0	2 a-	a-
4	L4	2	aha
5	L5	2	ahabia
6	L6	0	ahabiatze
7	L7	1	ahago
8	L8	2	ahagorri
9	L9	21	ahagozo
10	L10	97	ahaide
11	subentry	1	AHAIDE HANDI
12	subentry	0	AHAIDE ERATSI
13	subentry	0	AHAIDE KUTSU
14	subentry	10	AIDE NAGUSIAK
15	subentry	1	AHAIDE TXIKI
16	subentry	12	AHAIDE UR, URKO
17	subentry	15	AHAIDE HURBIL
18	subentry	1	AHAIDE URREN
19	subentry	0	EZKON AHAIDE
20	subentry	1	ZEHAR-AHAIDE
21	L11	14	ahaidegoa
22	L12	0	ahaidekera
23	L13	2	ahaidekeria
24	L14	1	ahaideko
25	L15	0	ahaidekunde
26	L16	1	ahaideria
27	L17	23	ahaidetasun
28	L18	5	ahaidetu
29	L19	1	ahaika
30	L20	1	ahaikari
31	L21	0	1 ahaikatu
32	L21	0	2 ahaikatu
33	L22	7	ahaikoa
34	L23	12	ahaire
35	L24	1	ahaka
36	L25	15	ahakar
37	subentry	2	AHAKAR-BIDE
38	subentry	13	AHAKAR EGIN
39	subentry	1	AHAKAR GORRI
40	subentry	0	AHAKARREAN
41	L26	1	ahakargarri
42	L27	0	ahakari
43	L28	2	ahakarkizun
44	L29	1	ahakarraldi
45	L30	4	ahakartu
46	L31	242	ahal
47	subentry	140	AHAL
48	subentry	26	AHALA
49	subentry	4	AHALA
50	subentry	6	AHAL ADINA
51	subentry	1	AHAL ADINBAT
52	subentry	87	AHALAZ
53	subentry	2	AHAL BESTE
54	subentry	4	AHAL BESTEAN
55	subentry	58	AHAL BEZAIN
56	subentry	8	AHAL BEZAINBATEAN
57	subentry	19	AHAL BEZALA
58	subentry	30	AHAL BEZAINBAT
59	subentry	8	AHALEZ
60	subentry	2	AHALEZKO
61	subentry	1	AHALIK EZA
62	subentry	0	EZIN KONTA
63	L32	65	ahalbait
64	subentry	1	ALBAITEZ
65	subentry	0	ALBAITIK
66	subentry	0	ALBAIZEAN
67	L33	0	ahalbide
68	L34	2	ahaldu
69	L35	38	ahaldun
70	L36	5	ahalegar
71	L37	145	ahalegin
72	subentry	16	AHALEGINA
73	subentry	54	AHALEGINEAN, AHALEGINETAN, AHALEGINAZ, AHALEGINEZ
74	L38	23	ahalegindu
75	L39	3	ahaleginka
76	L40	1	ahalegintsu
77	L41	4	ahalegintxo
78	subentry	1	AHALEGINTXOAN
79	L42	0	ahalehor
80	L43	1	ahaletaratu
81	L44	1	ahalgabe
82	L45	1	ahalgabetasun
83	L46	0	ahalge
84	L47	1	ahalgin
85	L48	7	ahalgoa
86	L49	1	ahalguziko
87	L50	1	ahalguzitako
88	L51	19	ahalguztidun
89	subentry	98	AHALIK
90	subentry	27	AHALIK ETA
91	L52	2	ahalikako
92	multiword_mainentry	18	ahal-izate	ahal-izate
93	L53	0	ahalka
94	L54	1	ahalkatzaile
95	L55	81	ahalke
96	subentry	29	AHALKE IZAN
97	subentry	0	AHALKE ON
98	L56	0	ahalkebelar
99	L57	1	ahalkedun
100	L58	2	ahalkedura
101	L59	11	ahalkegabe
102	subentry	1	AHALKEGABEKO
103	L60	2	ahalkegabekeria
104	L61	5	ahalkegabeki
105	L62	0	ahalkegaberia
106	L63	2	ahalkegabetasun
107	L64	1	ahalkegabetu
108	L65	1	ahalkegabetzar
109	L66	40	ahalkegarri
110	L67	1	ahalkegin
111	multiword_mainentry	3	ahalke-gorritu	ahalke-gorritu
112	L68	27	ahalkeizun
113	L69	0	ahalkeizungarri
114	L70	1	ahalkeizungarriki
115	L71	0	ahalkekor
116	L72	1	ahalkekortasun
117	L73	15	ahalkerazi
118	L74	21	ahalkeria
119	L75	0	ahalketaratu
120	L76	5	ahalketasun
121	L77	5	ahalketi
122	L78	1	ahalketsu
123	L79	66	ahalketu
124	L80	3	ahalkor
125	L81	0	ahalkortu
126	L82	62	ahalmen
127	L83	1	ahalmendun
128	L84	7	ahalmentsu
129	L85	0	ahalorde
130	L86	9	ahalorodun
131	L87	4	ahalorotako
132	L88	2	ahalorotasun
133	L89	21	ahaltasun
134	L90	1	ahalti
135	L91	57	ahaltsu
136	L92	1	ahaltsuki
137	L93	3	ahaltsutasun
138	L94	41	ahamen
139	multiword_mainentry	0	ahamen-belhar	ahamen-belhar
140	L95	1	ahamenka
141	L96	2	ahamenkatu
142	L97	1	ahamenta
143	subentry	0	AHAMENDA-BELAR
144	L98	0	ahantxu
145	L99	1	ahantzaldi
146	multiword_mainentry	1	ahantz-erazgarri	ahantz-erazgarri
147	L100	0	ahanzgarri
148	L101	0	ahanzkor
149	L102	0	ahanzkortu
150	L103	3	ahanzmendu
151	L104	3	ahanzpen
152	L105	0	ahanzte
153	L106	3	ahanztura
154	L107	1	ahapal
155	multiword_mainentry	0	ahapal-	ahapal-
156	subentry	1	AHAPALEZ
157	L108	59	ahapaldi
158	L109	2	ahapaldika
159	L110	1	ahapaldikari
160	L111	1	ahapaldiztatu
161	multiword_mainentry	4	ahape-	ahape-
162	subentry	24	AHOPEAN
163	subentry	25	AHAPETIK
164	subentry	2	AHAPEZ
165	subentry	3	AOPEKO
166	subentry	5	AOPEKOTAN
167	subentry	1	AOPEKOZ
168	L112	9	ahapeka
169	L113	0	aar
170	L114	1	aharaia
171	L115	7	aharantza
172	L116	16	ahardi
173	L117	0	ahardiko
174	L118	0	aharditsu
175	L119	42	ahari
176	subentry	2	AHARI-APUSTU
177	subentry	1	AHARI-BURU
178	subentry	0	AHARI-EULI
179	subentry	1	AHARI-JABE
180	subentry	1	AHARI-JOKETA
181	subentry	2	AHARI-JOKO
182	subentry	5	AHARI-TALKA
183	subentry	0	AHARI-TEMA
184	subentry	5	AHARI-TOPEKA
185	L120	12	ahariki
186	L121	3	ahariko
187	L122	0	aharitegi
188	L123	0	aharitu
189	L124	23	aharra
190	subentry	3	AHARRAN
191	L125	3	aharrari
192	L126	7	aharratu
193	L127	14	aharrausi
194	subentry	3	AHARRAUSI EGIN
195	L128	5	aharrausika
196	L129	1	aharrazale
197	L130	1	ahartzain
198	L131	2	aharzatz
199	L132	0	ahasabai
200	L133	6	ahatara
201	L134	6	ahataraka
202	L135	25	ahate
203	subentry	0	AHATAKUME
204	subentry	1	AHATE BELTZ
205	subentry	0	AHATE ESPAÑOL
206	subentry	1	AHATE-JOKO
207	subentry	0	AHATE MOTODUN
208	subentry	1	AHATE TIPI
209	subentry	0	ATXE-AHATE
210	subentry	0	EKAITZ-AHATE
211	subentry	0	MURGIL-AHATE
212	L136	4	ahateki
213	L137	0	ahatetegi
214	L138	2	ahatetxo
215	L139	44	haatik
216	L140	0	ahatxe
217	L141	0	ahazabal
218	L142	1	ahazgai
219	L143	1	ahazgaitz
220	L144	25	ahazgarri
221	L145	18	ahazkor
222	L146	1	ahazkortu
223	L147	2	ahazmen
224	L148	7	ahazte
225	L149	52	ahazterazi
226	L150	0	aaztru
227	L151	224	ahaztu
228	subentry	10	AHAZTU ERAGIN
229	subentry	1	AHAZTU-ZALE
230	subentry	20	EZIN AHANTZI(ZKO)
231	L152	1	ahaztuera
232	L153	14	ahaztuezin
233	subentry	2	AHAZTU-EZINEKO
234	L154	0	aaztumen
235	L155	18	aba
