wd_lid,lemma,category,sense,definition
L294429,abere,Q7233569,L294429-S1,aberekia
L50126,abere,Q1084,L50126-S1,"ugaztun nagusia, piztia ez dena, bereziki, baserrian lanerako edo janaritarako erabiltzen dena"
L50126,abere,Q1084,L50126-S2,zaldia
L51859,aberekeria,Q1084,L51859-S1,abereei egotzi ohi zaizkien ezaugarriak dituen giza ekintza
L230809,abereki,Q1084,L230809-S1,abere-okela
L269590,abereki,Q7233569,L269590-S1,"pertsonez mintzatuz, aberearen moduan jokatzen duena"
L290193,aberekoi,Q7233569,L290193-S1,aberezkoa
L260346,aberetiar,Q34698,L260346-S1,aberezkoa
L224500,aberetu,Q24905,L224500-S1,abereei dagozkien nolakotasunak hartu
L267816,aberezko,Q12259986,L267816-S1,"abereari dagokiona, pertsona abereekin kidetzen duena"
L48732,aberia,Q1084,L48732-S1,"kalte handia, hondatzea"
L52019,aberkide,Q1084,L52019-S1,herrikidea
L290194,aberkoi,Q7233569,L290194-S1,"gauzez mintzatuz, aberria goratzen duena, aberriaren aldeko agertzen dena"
L290195,aberrante,Q7233569,L290195-S1,ohikotik ateratzen dena
L290195,aberrante,Q7233569,L290195-S2,(Biol.) ohiz kanpoko ezaugarri iraunkorrak dituzten banakoei edo organoei esaten zaie
L230811,aberrazio,Q1084,L230811-S1,normal eta logiko dirudienetik ateratzea
L230811,aberrazio,Q1084,L230811-S2,(Fis.) sistema optiko batek ematen duen irudiaren eta jatorrizkoaren artean dauden desberdintasunak eta irudiaren garbitasun-arazoak sortzen dituen akatsa
L49491,aberri,Q1084,L49491-S1,"sorterria, bereziki, naziotzat hartzen denean"
L60695,aberrigabe,Q1084,L60695-S1,"aberririk, bereziki lege-aberririk, ez duen pertsona"
L224261,aberriratu,Q24905,L224261-S1,aberrira bihurtu
L82679,abertzale,Q34698,L82679-S1,"Aberria maite duena, aberriaren alde saiatzen edo borrokatzen dena"
L49126,abertzaletasun,Q1084,L49126-S1,abertzale denaren nolakotasuna; aberriarenganako maitasuna
L224621,abertzaletu,Q24905,L224621-S1,abertzale bihurtu
L51897,abesbatza,Q1084,L51897-S1,abestalde nagusia
L290196,abeslari,Q7233569,L290196-S1,kantaria
L48974,abestalde,Q1084,L48974-S1,kantatzeko biltzen den lagun-multzoa
L230823,abestaldi,Q1084,L230823-S1,kantaldia
L49308,abesti,Q1084,L49308-S1,"kanta, doinua, bereziki, zaharra edo herrikoia ez denean"
L49308,abesti,Q1084,L49308-S2,kantua
L222912,abestu,Q24905,L222912-S1,kantatu
L230842,abeze,Q1084,L230842-S1,"hastapenak, hasi-masiak"
L49152,abiaburu,Q1084,L49152-S1,zerbait hasten edo abiatzen den puntua
L49333,abiada,Q1084,L49333-S1,"abiadura, zerbaiten lastertasun-indarra"
L49333,abiada,Q1084,L49333-S2,"abiatzea, abian jartzea"
L49333,abiada,Q1084,L49333-S3,zerbaiten higidura noranzko jakin bati buruz
L49733,abiadura,Q1084,L49733-S1,zerbaitek daraman edo hartzen duen lastertasun-indarra
L49733,abiadura,Q1084,L49733-S2,distantzia bat eta berori ibiltzeko behar den denboraren arteko erlazioa
L49733,abiadura,Q1084,L49733-S3,prozesu baten aurrerapena denbora-unitatearekiko
L49733,abiadura,Q1084,L49733-S4,"(Autom.) abiadura-kaxaren engranaje-konbinazio bakoitza; horietako bakoitzari dagokion higidura-modua, martxa"
L230812,abiagailu,Q1084,L230812-S1,motorra abiarazteko tresna
L230827,abiagune,Q1084,L230827-S1,abiaburua
L230828,abiamen,Q1084,L230828-S1,hasiera
L230828,abiamen,Q1084,L230828-S2,prestaketa
L51685,abiapuntu,Q1084,L51685-S1,abiaburua
L290197,abiarazle,Q7233569,L290197-S1,abiarazten duena
L230818,abiasari,Q1084,L230818-S1,"taxietan, abiatzeagatik ordaintzen den diru-kopurua"
L222729,abiatu,Q24905,L222729-S1,"abian jarri, bidea hartu"
L222729,abiatu,Q24905,L222729-S2,hasi
L222729,abiatu,Q24905,L222729-S3,"martxan ipini, hasarazi; bultzatu"
L49336,abiazio,Q1084,L49336-S1,hegazkintza
L49336,abiazio,Q1084,L49336-S2,hegazkineria
L290198,abil,Q7233569,L290198-S1,trebea
L48684,abilezia,Q1084,L48684-S1,trebetasuna
L230824,abilidade,Q1084,L230824-S1,trebetasuna
L51234,abio,Q1084,L51234-S1,abiatzea
L51234,abio,Q1084,L51234-S2,funtzionatzen hastea
L290199,abisal,Q7233569,L290199-S1,argirik iristen ez den itsaso sakoneko eskualdeari dagokiona
L223020,abisatu,Q24905,L223020-S1,"ohartarazi, gaztigatu"
L48739,abisu,Q1084,L48739-S1,"oharra, kontseilua"
L48739,abisu,Q1084,L48739-S2,gaztigua; jakinarazpena
L230834,abitaminosi,Q1084,L230834-S1,(Med.) behar adina bitamina ez hartzeak edo ez xurgatzeak ekartzen dituen arazo patologikoen multzoa
L51608,abitu,Q1084,L51608-S1,"erlijio-ordena bakoitzeko jantzi berezia, normalean soineko luze baten antzekoa"
L50795,abizen,Q1084,L50795-S1,pertsonen deitura
L290200,ablatibo,Q7233569,L290200-S1,"(Hizkl.) hizkuntza indoeuropar eta beste zenbait hizkuntza-familiatako deklinabide-kasua; euskaraz, bereziki, nondikakoa adierazten du eta -tik/-rik kasu-atzizkiaren bitartez gauzatzen da"
