token	token_zbk	token_forma
https://monumenta.wikibase.cloud/entity/Q454	1	Azcoitico
https://monumenta.wikibase.cloud/entity/Q455	2	Parroquian
https://monumenta.wikibase.cloud/entity/Q808	3	1737.
https://monumenta.wikibase.cloud/entity/Q809	4	urtean
https://monumenta.wikibase.cloud/entity/Q810	5	.
https://monumenta.wikibase.cloud/entity/Q811	6	Virgiñaren
https://monumenta.wikibase.cloud/entity/Q812	7	icenaren
https://monumenta.wikibase.cloud/entity/Q813	8	egunean
https://monumenta.wikibase.cloud/entity/Q814	9	Stabat
https://monumenta.wikibase.cloud/entity/Q815	10	iuxta
https://monumenta.wikibase.cloud/entity/Q816	11	crucem
https://monumenta.wikibase.cloud/entity/Q817	12	Jesu
https://monumenta.wikibase.cloud/entity/Q818	13	Mater
https://monumenta.wikibase.cloud/entity/Q819	14	eius
https://monumenta.wikibase.cloud/entity/Q820	15	.
https://monumenta.wikibase.cloud/entity/Q821	16	Joan
https://monumenta.wikibase.cloud/entity/Q822	17	.
https://monumenta.wikibase.cloud/entity/Q823	18	19
https://monumenta.wikibase.cloud/entity/Q824	19	.
https://monumenta.wikibase.cloud/entity/Q825	20	Ceruco
https://monumenta.wikibase.cloud/entity/Q826	21	amabi
https://monumenta.wikibase.cloud/entity/Q827	22	signoetatic
https://monumenta.wikibase.cloud/entity/Q828	23	iraillean
https://monumenta.wikibase.cloud/entity/Q829	24	,
https://monumenta.wikibase.cloud/entity/Q830	25	gauden
https://monumenta.wikibase.cloud/entity/Q831	26	ill
https://monumenta.wikibase.cloud/entity/Q832	27	onetan
https://monumenta.wikibase.cloud/entity/Q833	28	oi
https://monumenta.wikibase.cloud/entity/Q834	29	degu
https://monumenta.wikibase.cloud/entity/Q835	30	Libra
https://monumenta.wikibase.cloud/entity/Q836	31	,
https://monumenta.wikibase.cloud/entity/Q837	32	edo
https://monumenta.wikibase.cloud/entity/Q838	33	balanza
https://monumenta.wikibase.cloud/entity/Q839	34	deritzan
https://monumenta.wikibase.cloud/entity/Q840	35	izar
https://monumenta.wikibase.cloud/entity/Q841	36	pilla
https://monumenta.wikibase.cloud/entity/Q842	37	bat
https://monumenta.wikibase.cloud/entity/Q843	38	(
https://monumenta.wikibase.cloud/entity/Q844	39	alacoai
https://monumenta.wikibase.cloud/entity/Q845	40	derizte
https://monumenta.wikibase.cloud/entity/Q846	41	signoac
https://monumenta.wikibase.cloud/entity/Q847	42	ceruan
https://monumenta.wikibase.cloud/entity/Q848	43	)
https://monumenta.wikibase.cloud/entity/Q849	44	;
https://monumenta.wikibase.cloud/entity/Q850	45	hipuynac
https://monumenta.wikibase.cloud/entity/Q851	46	diote
https://monumenta.wikibase.cloud/entity/Q852	47	,
https://monumenta.wikibase.cloud/entity/Q853	48	ecen
https://monumenta.wikibase.cloud/entity/Q854	49	beiñ
https://monumenta.wikibase.cloud/entity/Q855	50	batean
https://monumenta.wikibase.cloud/entity/Q856	51	Justiciac
https://monumenta.wikibase.cloud/entity/Q857	52	lurrean
https://monumenta.wikibase.cloud/entity/Q858	53	lecuric
https://monumenta.wikibase.cloud/entity/Q859	54	arquitzen
https://monumenta.wikibase.cloud/entity/Q860	55	etzeuala
https://monumenta.wikibase.cloud/entity/Q861	56	,
https://monumenta.wikibase.cloud/entity/Q862	57	gogaitu
https://monumenta.wikibase.cloud/entity/Q863	58	ta
https://monumenta.wikibase.cloud/entity/Q864	59	igues
https://monumenta.wikibase.cloud/entity/Q865	60	igo
https://monumenta.wikibase.cloud/entity/Q866	61	zala
https://monumenta.wikibase.cloud/entity/Q867	62	cerura
https://monumenta.wikibase.cloud/entity/Q868	63	,
https://monumenta.wikibase.cloud/entity/Q869	64	ta
https://monumenta.wikibase.cloud/entity/Q870	65	ifiñi
https://monumenta.wikibase.cloud/entity/Q871	66	ceuala
https://monumenta.wikibase.cloud/entity/Q872	67	bere
https://monumenta.wikibase.cloud/entity/Q873	68	vicitza
https://monumenta.wikibase.cloud/entity/Q874	69	balanzaren
https://monumenta.wikibase.cloud/entity/Q875	70	echean
https://monumenta.wikibase.cloud/entity/Q876	71	.
https://monumenta.wikibase.cloud/entity/Q877	72	Vstecabea
https://monumenta.wikibase.cloud/entity/Q878	73	dirudi
https://monumenta.wikibase.cloud/entity/Q879	74	onec
https://monumenta.wikibase.cloud/entity/Q880	75	;
https://monumenta.wikibase.cloud/entity/Q881	76	baña
https://monumenta.wikibase.cloud/entity/Q882	77	da
https://monumenta.wikibase.cloud/entity/Q883	78	gauza
https://monumenta.wikibase.cloud/entity/Q884	79	bat
https://monumenta.wikibase.cloud/entity/Q885	80	egungo
https://monumenta.wikibase.cloud/entity/Q886	81	euanjelioac
https://monumenta.wikibase.cloud/entity/Q887	82	dionari
https://monumenta.wikibase.cloud/entity/Q888	83	ederqui
https://monumenta.wikibase.cloud/entity/Q889	84	dagocana
https://monumenta.wikibase.cloud/entity/Q890	85	.
https://monumenta.wikibase.cloud/entity/Q891	86	Esatendigu
https://monumenta.wikibase.cloud/entity/Q892	87	,
https://monumenta.wikibase.cloud/entity/Q893	88	Virgiña
https://monumenta.wikibase.cloud/entity/Q894	89	guciz
https://monumenta.wikibase.cloud/entity/Q895	90	santea
https://monumenta.wikibase.cloud/entity/Q896	91	dagoala
https://monumenta.wikibase.cloud/entity/Q897	92	zutic
https://monumenta.wikibase.cloud/entity/Q898	93	gurutzearen
https://monumenta.wikibase.cloud/entity/Q899	94	ondoan
https://monumenta.wikibase.cloud/entity/Q900	95	,
https://monumenta.wikibase.cloud/entity/Q901	96	stabat
https://monumenta.wikibase.cloud/entity/Q902	97	iuxta
https://monumenta.wikibase.cloud/entity/Q903	98	crucem
https://monumenta.wikibase.cloud/entity/Q904	99	Jesu
https://monumenta.wikibase.cloud/entity/Q905	100	mater
https://monumenta.wikibase.cloud/entity/Q906	101	eius
https://monumenta.wikibase.cloud/entity/Q907	102	:
https://monumenta.wikibase.cloud/entity/Q908	103	ta
https://monumenta.wikibase.cloud/entity/Q909	104	Eleizac
https://monumenta.wikibase.cloud/entity/Q910	105	dionez
https://monumenta.wikibase.cloud/entity/Q911	106	,
https://monumenta.wikibase.cloud/entity/Q912	107	gurutzea
