id	Q108	Q109	Q110	Q111	Q112	Q113	Q114	Q115	Q116	Q117	Q118	Q119	Q120	Q121	Q122	Q123	Q124	Q125	Q126	Q127	Q128	Q129	Q130	Q131	Q132
1	a							a [a]	a [a]										-aa				aa	aa	aa
2	a	a	a	a	á		a		a	a	a														
3	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
4	a!	a!; aa!	a!; aa!	a!; aa!			a!; aa!		a!; aa!																
5	a-ari																		aaa-ari						
6	abahiñu	abajiñu	abajiñu	abahiñu			abajeño		abahiñu																
7	abansay																						abansay	abansa-	abansa-
8	abas	aba	aba	aba			haba		aba			abas	abas	abas					aawash		äbas	aabas	abas; aabas	abas; aabas	
9	abas kuta; abas haku																abas kuta; abas jaku	habas cuta; habas jacu							
10	abaspa tuktun																						abaspa (aabas) tuktun	abaspa (aabas) tuktun	
11	abi																				äbi	aabi			
12	abiha																				abëja	abeeha	abeha	abeha	
13	abiyay	abiyay	abiyay	abiyay			abiyay		abiyay																
14	abiyu	abiyu	abiyu	abiyu			abiyu		abiyu																
15	abril	abril	abril	abril		abril	abril		abril	abril	abril														
16	abugadu																		abugadu				abugaadu	abugaadu	
17	abunu	abunu	abunu	abunu			abunu		abunu																
18	abusay	abusay	abusay	abusay			abusay		abusay																
19	abuta															abuta									
20	acha					acha																			
21	achá																		aatraa				aachaa	aachaa	
22	achacha	achacha	achacha	achacha				achacha	achacha	achacha	achacha														
23	achachachinakuy																						achachaatsinakuy	achachaatsinaku-	
24	achachachiy																						achachaatsiy	achachaatsi-	
25	achachakuy																						achachaakuy (achacha-a-ku-y)	achachaakuy (achacha-a-ku-y)	
26	Achachallawya!	Achachallawya!	Achachallawya!	Achachallawya!		Achachallawya!																			
27	achachaq																						achaq	achaq	achachaq
28	Achachaw!	Achachaw!	Achachaw!	Achachaw!		Achachaw!			Achacháw!	Achacháw!	Achachaw!; Achacháw!	Acháw!; Achacháw!	Acháw!; Achacháw!												
29	Achachaw!											achacháy!; achacháw!	achacháy!; achacháw!	achachaw!			Achachaw!	Achachau!					Achachaw!	Achacháw!	
30	Achachaw!																						Achachaw!	Achacháw!	aĉaĉaw!
31	Achachay!					..Alalaw!	..Alalaw!; Alalay!	achachay!; achachaw!	..Alalaw!; Alalay!; Alaláw!	..Alalaw!; Alaláw!	..Alalaw!; Alaláw!						Achachay!	Achachay!			Achachau!	Achachaw!	..Alalaw!	..Alaláw!	
32	Achachay!	Achachay!	Achachay!	Achachay!		Achachay!													¡Atratray!	¡Atratray!	Achachay!; Achachau!	Achachay!; Achachaw!	Achachay!	Achacháy!	
33	achachay																						achachay	achachay	
34	achachay																						achachaay	achachaa-	aĉaĉaa-
35	achachi	achachi	achachi	achachi			achachi		achachi	achachi	achachi												..aukis	..aukis	
36	achachilasa																achachilasa	achachilasa							
37	achachilla	achachilla	achachilla	achachilla					achachilla	achachilla	achachilla														
38	achacha	achachha	achachha	achachha				achachha																	
39	achaka					achaka																			
40	achákala					achákala																			
41	achakana	achakana	achakana	achakana			achakana	achakana	achakana																
42	Achakallaw!; Achakaw!	Achakaw!	Achakaw!	Achakaw!		Achakallaw!		achakaw!	Achakaw!	Achakaw!	Achakaw!														
43	achakawka																						achakauka	achakka	
44	achakay!													achakayji!											
45	achaki	achaki	achaki	achaki			achaki		achaki														achaaki	achaaki	
46	achakita churay	achakita churay	achakita churay	achakita churay			achakita churay		achakita churay																
47	achakiy	achakiy	achakiy	achakiy			achakiy	achakiy	achakiy																
48	achaku																						achaku	achaku	
49	achala	achala	achala	achala					achala	achala	achala														
50	achalachiy	achalachiy	achalachiy	achalachiy				achalachiy	achalachiy	achalachiy	achalachiy														
51	achalakuy	achalakuy	achalakuy	achalakuy					achalakuy	achalakuy	achalakuy														
52	achalasqa	achalasqa	achalasqa	achalasqa					achalasqa	achalasqa	achalasqa														
53	Achalaw!	Achallaw!	Achallay!	Achallaw!	Achalay!			achalaw!; achhalaw!	Achalaw!	Achalaw!	Achalaw!												Achallau!; Achallay!	Achallau!; Achallay!	
54	achalayki	achalayki	achalayki	achalayki					achalayki	achalayki	achalayki														
55	achanqaray	achanqara	achanqara	achanqara			achanqara	achanqara	achanqaray; achanqara; achankaray	achanqaray; achankaray	achanqaray; achankaray												achankaray	achankaray	
56	achapay					achapay																			
57	achaqay	achaqay	achaqay	achaqay			achaqay		achaqay																
58	achari																		aatrari				aachari	aachari	
59	achay																						achay	achay	
60	achay	achay	achay	achay			achay		achay																
61	achay																						achay	acha-	
62	achay																		atray; atriy						
63	achi																						aachi (aachari › aachi)	aachi (aachari › aachi)	
64	achichin											achichin	achichin			achikinbiha									
65	achik																achik	achic							
66	achik											achik	achik				achik	achic					atski	aktsi	
67	achikachikuq																		achikachikuq						
68	achikay	achikay	achikay	achikay			achikay		achikay																
69	achiklla																achiklla	achiclla							
70	achiksamaytu																achiksamaytu	achicsamaitu							
71	achiku					achiku																			
72	achikyachiy																achikyachina; achikyachina (yuyaymanta)	achicyachina; achicyachina (yuyaimanda)							
73	achikyakuy											achikyakuy	achikyakuy												
74	achikyaq																		achikyaq						
75	achikyay					achikyay			achikyay	achikyay	achikyay														
76	achikyay					achikyay		achikyay	achikyay	achikyay	achikyay	achikyay	achikyay	achkiyay			achikyana; achikyana (punchamanta)	achicyana; achicyana (punchamanda)	achikyaay	achikyaay	achicyä-n	achikyaay	atsikyay	atsikya-	
77	achikyay					achikyay		achikyay	achikyay	achikyay	achikyay; achikway	achikyay	achikyay				achikyana	achicyana	achikyaay	achikyaay	achicyä-n	achikyaay	atsikyay; atsikyaay	atsikya-; atsikyaa-	atsikyaa-
78	achikyay											achikyay	achikyay	achkiyay					achikyaay						
79	Achil																Atsil	Atsil							
80	Achil Tayta																Atsil Tayta	Atsil Taita							
81	Achil Yaya																Atsil Yaya	Atsil Yaya							
82	achi mama																achi mama; achik mama	achi mama; achic mama	achay mama						
83	achipsa																						achipsa	achipsa	
84	achira	achira	achira	achira	achira		achira	achira	achira	achira	achira			achira			atsira	atsira					achiira	achiira	
85	achis																						achis	achis	
86	achita	achita	achita	achita					achita	achita	achita														
87	achi tayta																achi tayta	achi taita	achay tayta						
88	achiusa																						achiusa	achiusa	
89	achiusay																				jachiusa-n	hachiusay	achiusay	achiusa-	
90	achiwa	achiwa	achiwa	achiwa			achiwa	achiwa	achiwa	achiwa	achiwa												achiwa	achiwa	
91	achiwa-achiwa	achiwa-achiwa	achiwa-achiwa	achiwa-achiwa					achiwa-achiwa	achiwa-achiwa	achiwa-achiwa														
92	achi wawa																achi wawa; achik wawa	achi huahua; achic huahua							
93	achiwiti	achiwiti	achiwiti	achiwiti			achiwiti	achiwiti	achiwiti	achiwiti	achiwiti					achiwiti	achiwiti	achihuiti					achuti	achuti	
94	achiy	achiy	achiy	achiy					achiy	achiy	achiy														
95	achiy																		atriy						
96	achiyá																						aachiyaa	aachiyaa	
97	achiyari																						aachiyaari	aachiyaari	
98	achiyay																atsiyana	atsiyana							
99	achi yaya																achik yaya	achic yaya							
100	achka	ashka	askha	askha	achka	achka	ashka; askha; achkha; ashkha; ashkhas	askha; achkha	ashka; askha; achkha	askha; ashkha; achkha; ashkhas	askha; ashkha	achka	achka	achka	achka	achka achka	achka	achca; ashca	achka	achka	achca	achka	atska; allaapa	atska; allaapa	atska
101	achkachay	ashkachay	askhachay	askhachay					ashkachay	ashkachay	ashkachay														
102	achkachay							askhachay; achkhachay	askhachay; achkhachay					achkachay											
103	achkam	ashkan	askhan	askhan													achkami	achcami							
104	achkanyay hayñikuna																achkanyay jayñikuna	achcanyai jaiñicuna							
105	achka qullqipaq rantisqa ñin																achka kullkipak rantishka nin	achca cullquipac rantishca nin							
106	achka qullqipi qaturiq	ashka qullqipi qhaturix	askha qullqipi qhaturix	askha qullqipi qhaturih													achka kullkipi katurik	achca cullquipi caturic							
107	achka qullqi waliq																achka kullki walik	ashca cullqui valic							
108	achka runa	ashka runa	askha runa	askha runa					askha runa	askha runa	askha runa														
109	achkas																		atrkash				achkash; ashkash; ashkalla	achkash; ashkash; ashkalla	ashkalla
110	achkata																								
111	achka tiyay	ashka tiyay	askha tiyay	askha tiyay	achka  tiyay																				
112	achka tasla	ashka t'asla	askha t'asla	askha t'asla			ashka t'asla		ashka t'asla																
113	achka uya	ashka uya	askha uya	askha uya			ashka uya		ashka uya																
114	Achkay													aĉakay									Achkay; Achikay; achkay	Achkee; Achikee; achkee	Achkey
115	achkayachiq													achkayachiq											
116	achkayachiy	ashkayachiy	askhayachiy	askhayachiy	achkayachiy	achkayachiy	askhayachiy	askhayachiy	askhayachiy										achkayaachiy						
117	achkayay	ashkayay	askhayay	askhayay	achkayay		ashkayay	askhayay	ashkayay; askhayay	askhayay	askhayay						achkayana	achcayana	achkayaay						
118	achka yupa	ashka yupa	askha	askha				achkha	askhayupa	askhayupa	askhayupa														
119	achki					achki						achik	achik	achki			achik	achic			achqui	achki	atski	aktsi	
120	achkikuq																		akchikuq						
121	achkina																						atskina	aktsina	
122	achkiy					akchiy																			
123	achkiy					achkiy													akchiy		achqui-n	achkiy	atskiy	aktsi-	
124	achku											atr'ku	aĉku												
125	achkukuy																						achkukuy	achkuku-	
126	achkuy					..chakuy			..chakuy	..chakuy	..chakuy												achkuy	achku-	aĉku-
127	achkuy													aĉkuy											
128	achmikuq																		atrmikuq						
129	achmiy																		atrmiy						
130	achpay																				achpa-n	achpay	achpay	achipa-	
131	achpaykachay																						achpaykachay	achipaykacha-	
132	achqay																		atrqay						
133	achu																						achu	achu	
134	achu	achu	achu	achu																	achu	achu			
135	achucha	achucha	achucha	achucha			achucha		achucha																
136	achuchiy	achuchiy	achuchiy	achuchiy			achuchiy		achuchiy																
137	achukay																atsukana	atsucana							
138	achuma qiwillu	achuma qhiwillu	achuma qhiwillu	achuma qhiwillu			achuma qhewillu		achuma qhiwillu																
139	achuni															achuni	achuni	achuni							
140	achuni sananku															achuni sananku									
141	achuni ullu															achuni ullu									
142	achupalla	achupaya	achupaya	achupaya		achupa	achupaya	achupalla	achupalla; achupaya	achupalla	achupalla												achupaalla; achupa	achupaalla; achupa	
143	achupalla	achupalla	achupalla	achupalla				achupalla																	
144	achuqalla																								
145	achuqalla	achuqalla	achuqalla	achuqalla					achuqalla	achuqalla	achoqalla	..waywash	..waywash				achuklla	achuclla	..waywash	..waywash			..waywash	..weewash	
146	achuqcha	achuxcha	achuxcha	achuhcha			achojcha	achuqcha	achuqcha	achuqcha	achoqcha						achukcha	achugcha							
147	achura	achura	achura	achura			achura	achura	achura	achura	achura														
148	achuray	achuray	achuray	achuray			achuray	achuray	achuray	achuray	achuray														
149	achuy	achuy	achuy	achuy			achuy	achuy	achuy			..amuy	..amuy			..amuy									
150	achuy	achuy	achuy	achuy																	achu-n	achuy	achuy	achu-	
151	achwatakuy																		atrwatakuy						
152	achiq ñiy				achiy		achiy		achiy								achiknina; achunina	achignina; achunina							
153	achiy	achhiy	achiy	achhiy	achiy		achiy; achhiy; achhuy	achhiy; jachiy	achhiy; achiy; achhuy	achhiy	achhiy														
154	achiy	achhiy	achiy	achhiy	achiy		achiy; achhiy; achhuy	achhiy; jachiy	achhiy; achiy; achhuy	achhiy	achhiy	aqchiy	aqchiy			achkikuy	achiknina	achignina	achiwyaay; haqchiwsay	achiwyaay; haqchiwsay	..jachiusa-n; wishga-n	..hachiusay; wishqay			
155	achumuy	achhumuy	achhumuy	achhumuy					achhumuy	achhumuy	achhumuy														
156	achuray	achhuray	achhuray	achhuray			achuray		achhuray; achuray	achhuray; achhuriy	achhuray; achhuriy														
157	achuy	achhuy	achhuy	achhuy					achhuy	achhuy	achhuy														
158	achuykuy	achhuykuy	achhuykuy	achhuykuy					achhuykuy	achhuykuy	achhuykuy														
159	achuyuy	achhuyuy	achhuyuy	achhuyuy					achhuyuy	achhuyuy	achhuyuy														
160	adisir																						adisir	adisir	
161	Adiyús	Adiyús	Adiyús	Adiyús		Adiyús			Adiyús	Adiyús	Adiyús														
162	admirasqa kay	admirasqa kay	admirasqa kay	admirasqa kay					admirasqa kay	admirasqa kay	admirasqa kay														
163	adrí																		ardiidi				adrii; adriipa	adrii; adriipa	
164	adubi	adubi	adubi	adubi		adubi			adubi	adubi	adubi								adubi						
165	afanakuy				afanakuy																				
166	afaniru											afaniru	afaniru												
167	afaniswan	afaniswan	afaniswan	afaniswan			afaneswan		afaniswan																
168	afilay																		afilay; afwilay						
169	aflihiy	aflihiy	aflihiy	aflihiy			aflijiy		aflihiy																
170	agradisiy	agradisiy	agradisiy	agradisiy	agradesey		agradisiy		agradisiy																
171	agustu	agustu	agustu	agustu		agustu	agustu		agustu	agustu	agosto												agustu	agustu	
172	aha																						aha	aha	
173	Ahá!					Ahá!																	ahaa!	ahaa!	
174	ahachiy																						ahatsiy; ahaatsiy	ahatsi-; ahaatsi-	
175	Ahahay!	Ahahaw!	Ahaw!	Ahahaw!		Ahahaw!; Ahahay!; Ahaw!			Ahahay!; Ahaw!	Ahahay!; Ahaw!	Ahahay!; Ahaw!														
176	ahahay	ajajay	ajajay	axaxay			ajajay		ahahay												ajaylla-n	ahayllay	ahahay	ahaha-	
177	ahalla																						ahalla	ahalla	
178	ahallay																						ahallay	ahalla-	
179	ahan																						ahaan	ahaan	
180	ahasqa																						ahashqa	ahashqa	
181	ahay																						ahay	aha-	
182	ahay																						ahay	aha-	
183	ahayachiy																						ahayaatsiy	ahayaatsi-	
184	ahayay																						ahayay	ahaya-	
185	ahi!																						aahi!	aahi!	
186	ahina	ajina	ajina	axina			ajina	ajina	ahina																
187	ahina	ajina	ajina	axina			ajina		ahina																
188	ahinhu																						ahinhu	ahinhu	
189	ahitay																ajitana	ajitana							
190	ahiy																						aahiy	aahi-	
191	ahumpay																						ahumpay	ahumpa-	
192	ahus															aju	ajus; aju	ajus; aju			äjus	aahus	aahus	aahus	
193	ahus chiru																ajus chiru	ajus chiru							
194	ahus panqa																aju panka	aju panga							
195	ahus qiru; ahus kaspi															ahus kiru; ahus kaspi									
196	ahus sacha															ahus sacha; ahu sacha	ajus sacha; aju sacha	aju sacha							
197	ahus waska																ajus waska	ajus huasca							
198	ahuy																						ahuy	ahu-	
199	ahwilay																						ahwilay	ahwila-	
200	aka	aka	aka	aka	aka	aka	aka	aka	aka	aka	aka				aka								aka	aka	
201	akachakuy																		akachaakuy						
202	akachaq														akachaq				akachaq; akatraq		acaj	akaq			
203	akacháw														akacháw										
204	akachay																		akachay						
205	akachay																		akachay						
206	aka hina sinqayuq	aka hina sinqayux	aka hina sinqayux	aka hina sinqayuh					aka hina sinqayuq	aka hina sinqayuq	aka hina senqayoq														
207	Akakalláw!	Akakalláw!	Akakalláw!	Akakalláw!		Akakallaw!			Akakalláw!	Akakalláw!	Akakalláw!	Akáw!; Akakáw!	Akáw!; Akakáw!	akakaw!											
208	Akakaw!					Akakaw!			akakáw!	akakáw!	akakáw!												akakau!	akakau!	
209	akakaw!																						akakau!	akakau!	
210	akakllu	jak'ajllu	jak'axllu	hak'axllu		akakllu	jak'ajllu		hak'akllu; hak'aqllu; akakllu; hak'achu	hak'akllu; akakllu; hak'achu	hak'akllu; akakllu; hak'achu												akaka	akaka	
211	akakuy	akakuy	akakuy	akakuy	akakuy										akakuy										
212	aka kichki	aka k'iski	aka k'iski	aka k'iski		akakichki	aka k'iski		aka k'iski	aka k'iski	aka k'iski														
213	aka kuchu	aka k'uchu	aka k'uchu	aka k'uchu					aka k'uchu	aka k'uchu	aka k'uchu														
214	akanawasi	akanawasi	akanawasi	akanawasi			akanawasi		akanawasi																
215	akanayaq runa	akanayax runa	akanayax runa	akanayah runa					akanayaq runa	akanayaq runa	akanayaq runa														
216	akankaw																akankaw	acangau							
217	akapa					akapa													akapa				akapa	akapa	
218	akapakuy																		akapakuy						
219	akapana	akapana	akapana	akapana													akapana	acapana							
220	akapana	akapana	akapana	akapana				akapana	akapana														akapana	akapana	
221	akaraqay																						akaraqay	akaraqay	
222	akarqana	akarqana	akarqana	akarqana				akarqana																	
223	aka siki	aka siki	aka siki	aka siki			aka siki		aka siki																
224	akasu	akasu	akasu	akasu			akasu		akasu																
225	akatanqa	akatanqa	akatanqa	akatanqa	akatanqa	akatanqa	akatanqa; akatenqa	aka tanqa	akatanqa; akatinqa	akatanqa	akatanqa												..punchinkuy; kuru pankash	..punchinkuy; kuru pankash	
226	akatay																						akatay	akatay; akata-	akata-
227	akatuwawa																akatuwawa	acatuaua							
228	aka wara	aka wara	aka wara	aka wara		akawara	akawara	aka wara	akawara; aka wara	aka wara; akaswara	aka wara; akaswara														
229	akay	akay	akay	akay	akay		akay		akay																
230	akay	akay	akay	akay	akay	akay	akay	akay	akay	akay	akay														
231	akayta mikuy supiyta pitay	akayta mikuy supiyta pitay	akayta mikuy supiyta pitay	akayta mikuy supiyta pitay					akayta mikuy supiyta pitay	akayta mikuy supiyta pitay	akayta mikuy supiyta pitay														
232	aki																aki	aqui							
233	akila													akila											
234	akilla	akilla	akilla	akilla			akilla	akilla	akilla	akilla	akilla												akilla	akilla	
235	aklla					aklla			aklla	aklla	aklla												aklla	aklla	
236	akllachiy	ajllachiy	ajllachiy	axllachiy			ajllachiy		akllachiy																
237	akllakuy	ajllakuy	ajllakuy	axllakuy			ajllakuy		akllakuy	akllakuy	akllakuy														
238	akllamuy	ajllamuy	ajllamuy	axllamuy			ajllamuy		akllamuy																
239	akllanakuy					akllanakuy																			
240	akllapayay	ajllapayay	ajllapayay	axllapayay			ajllapayay	akllapayay	akllapayay																
241	akllapuy	ajllapuy	ajllapuy	axllapuy			ajllapuy		akllapuy																
242	akllasqa	ajllasqa	ajllasqa	axllasqa			ajllasqa	akllasqa	akllasqa	akllasqa	akllasqa												akrashqa	akrashqa	
243	akllasqa chani																akllashka chani	acllashca chani							
244	aklla wasi	ajllawasi	ajllawasi	axllawasi		akllawasi	ajllawasi	aklla wasi	akllawasi														aklla wasi	aklla wasi	
245	akllay	ajllay	ajllay	axllay													akllay	acllai							
246	akllay	ajllay	ajllay	axllay	aqllay	akllay	ajllay; aqllay	akllay	akllay; aqllay	akllay	akllay	akray	akray	akray		akllay	akllana	acllana	aklay	aklay	acra-n	akray	akray	akra-	
247	akllay papa																						akray papa	akray papa	
248	akllaypaq																akllaypak	agllaypag							
249	akllu					aqllu			akllu	akllu	akllu														
250	akllu					akllu																			
251	aklluy																aklluna	aglluna							
252	aklluy					aklluy																			
253	akna	ajna	ajna	axna			ajna		akna																
254	aknachay	ajnachay	ajnachay	axnachay			ajnachay		aknachay																
255	aknu	ajnu	ajnu	axnu					aknu	aknu	aknu														
256	aknupu ñañaka	ajnupu ñañaka	ajnupu ñañaka	axnupu ñañaka					aknupu ñañaka	aknupu ñañaka	aknupu ñañaka														
257	akñichiy																aknichina	acnichina							
258	akñiy																aknina	acnina							
259	aksay																						aksay	aksay	
260	aksu	axsu	ajsu	axsu			ajsu	aksu	aksu; aqsu	aksu; aqsu	aksu; aqsu														
261	aksullichiy	ajsullichiy	ajsullichiy	axsullichiy					aksullichiy	aksullichiy	aksullichiy														
262	aksullikuy	ajsullikuy	ajsullikuy	axsullikuy					aksullikuy; aqsullikuy	aksullikuy; aqsullikuy	aksullikuy; aqsullikuy														
263	aksu				..papa	..papa	..papa		..papa	..papa	..papa	akshu	akshu	akshu		..papa	..papa	..papa	akshu	akshu	..papa	..papa	aqsho; akshu	aqsho; akshu	akshu
264	aktiy					aktiy																			
265	akukutinchiq																akukutinchik	acucutinchic							
266	akulli	akulli	akulli	akulli			akulli	akulli	akulli																
267	akulliy	akulliy	akulliy	akulliy		akulliy	akulliy	akulliy	akulliy	akulliy	akulliy														
268	akulliy hura	akulliy hura	akulliy hura	akulliy hura			akulliy hura		akulliy hura																
269	akumpañay	akumpañay	akunpañay	akunpañay	akompañay		akompañay		akumpañay																
270	akuna																akuna	acuna							
271	akupana	akupana	akupana	akupana					akupana	akupana	akupana														
272	akurma																						akurma	akurma	
273	akuy	akuy	akuy	akuy		akuy	akuy		akuy																
274	akuy	akuy	akuy	akuy		akuy	akuy	akuy	akuy								akuna	acuna					akuy	aku-	
275	akwa	ajwa	awja	axwa			ajwa; awja		akwa; awha	akwa	akwa						ajwa	ajua	awha	awha	auja	awha	awqa	ooqa	owqa
276	akwa-akwa	akwa-akwa	akwa-akwa	akwa-akwa			awja awja		akwa-akwa	akwa-akwa	akwa-akwa														
277	akwa hiringa																awja jeringa	auja jeringa							
278	akyay																ajyay	ajyai							
279	ala						ala		ala	ala		ala	ala	ala			alas	alas					aala; alas	aala; alas	ala
280	Alabadu																						Alabadu	Alabadu	
281	alabaduq																						alabaduq; alabaaduq	alabaduq; alabaaduq	
282	alabaduy																						alabaduy; alabaaduy	alabadu-; alabaadu-	
283	alabakuq	alabakux	alabakux	alabakuh			alabakoj		alabakuq																
284	alabay																				alaba-n	alabay			
285	ala kuyay kuyaylla	ala khuyay khuyaylla	ala khuyay khuyaylla	ala khuyay khuyaylla					ala khuyay khuyaylla	ala khuyay khuyaylla	ala khuyay khuyaylla														
286	alalachiy																						alalaatsiy	alalaatsi-	
