ID	Deutsch	English	Español	Italiano	Français
1	gewiss; sicherlich	certainly; surely	seguramente; indudablemente; sí; seguro; pues	sicuramente; indubitabilmente; si; sicuro; certo	
2	da; dann; also	then; so; well; then (abbreviated form of ari)	pues	quindi; [forma abbreviata di ari]	donc (explét.)
3	(Vokal, Phonem der Ketschua-Sprache)	(vocal phoneme of the quechua language)	(fonema vocálico abierto bajo central del idioma quechua); (vocal abierta, baja central); (vocal abierta, central y la de mayor frecuencia); (vocal baja central no redondeada); /a/ vocal baja central	a; [Fonema vocalico aperto basso centrale, non arrotondata e di maggior frequenza dell'idioma quechua]	
4	oh!; ja!	oh!; yes!	¡oh!; ¡si!	si!	
5	klar	clear	claro	chiaro	
6	geschälte, rosafarbene Kartoffel	purple skinned potato	papa morada pelada	papa morada pelada	
7	vorangehen; fortschreiten	to advance	avanzar	avanzare	
8	Saubohne	broad bean	haba; habas	fava; fave; [tax. bin: vicia faba; ord: fabales; fam: fabaceae]	
9	Mehl aus Saubohnen	flour of broad beans	harina de habas	farina di fave	
10	Bohnenblüte; Gewebe, das der Bohnenblüte ähnelt	bean flower; fabric that resembles bean flowers	flor de haba; tejido que se parece a la flor de haba	fior di fava; [tessuto che assomiglia al fiore della fava]	
11	Vogel	bird	ave; pájaro	uccello; passero; [tax. dom: Eukaryota; reg: Animalia; sre: Eumetazoa; ram: Bilateria; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; Iph: Gnathostomata; scla: Tetrapoda; cla: Aves]	
12	Biene	bee	abeja	ape; [tax. dom: Eukaryota; reg: Animalia; sre: Eumetazoa; ram: Bilateria; phy: Arthropoda; uph: Tracheata; ; cla: Insecta; ucl: Pterygota; coo: Endopterygota; sor: Oligoneoptera; sez: Hymenopteroidea; ordine: Hymenoptera; uor: Apocrita; sez: Aculeata; sfa: Apoidea; fam: Apidae; ufa: Apinae; tri: Apini; gen: Apis]	
13	ausrüsten; jemandem das Notwendige für eine Reise geben	to equip; to give someone the necessary for a voyage	aviar; dar a alguien lo necesario para un viaje	avviare; [dare a qualcuno il necessario per viaggiare]	donner à qqu'un le nécessaire pour un voyage
14	kalte Mahlzeit; Wegzehrung; Vorschuss zum Lohn	cold meal; provisions; advance on wages	avío; comida fría	cibo freddo	repas froid; avance sur salaire
15	April	April	abril	aprile	
16	Anwalt; Rechtsanwalt	lawyer	abogado	avvocato	
17	Dünger	fertilizer (from Spanish abono; which actually derives from Quechua wanu)	abono	concime; [lit. esp: abono < que: guano (wanu)]	
18	vergewaltigen	to rape; to violate (sexual violence)	abusar; violar (sexual)	abusare; violare sessualmente	violer (violence sexuelle)
19	Heilpflanze (Art), Hauptnutzung: Fieber, Diabetes, Malaria, Monatskrämpfe, Geschwüre, Schmerzstiller, Zahnschmerzstiller usw.	abuta; velvet leaf; kind of medicinal plant, main uses: fever, diabetes, malaria, menstural cramps, ulcers, pain killer, dental pain killer etc.	abuta; barbasco; especie de planta medicinal, usos principales: calentura, diabetes, malaria, espasmos menstruales, úlceras, analgético, analgético dental etc.	abuta; barbasco; [specie di pianta medicinale, i cui usi principali sono: febbre, diabete, malaria, contrazioni mestruali, ulcere, analgesico, analgesico dentale ecc.]	
20	ungekämmt; zerzaust	dishevelled	despeinado	spettinato	
21	gewiss (in Antworten); sicherlich (in Antworten); vielleicht (in Antworten)	certainly (in answers); surely (in answers); possibly (in answers)	seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente	sicuramente (nella risposta); probabilmente (nella risposta); certamente	
22	Spielzeug	toy	juguete	giocattolo	
23	sich erhitzen; sich erwärmen	to heat up; to warm up	darse calor; calentarse	darsi calore; riscaldarsi	
24	erhitzen; erwärmen; wärmen; heizen	to heat; to warm; to heat up; to warm up	calentar; dar calor	riscaldare; dare calore	
25	Hitze fühlen; heiß sein	to feal heat; to be hot	sentir calor; hacer calor	sentire calore; fare caldo	
26	Wie entsetzlich!; Wie furchtbar!	How terrible!; How horrible!	¡Qué terrible!; ¡Qué horrible!	Che terribile!; Che orribile!	
27	heiß	hot	caliente	caldo	
28	Donnerwetter!; Aha!; Welch Überraschung!; Wie schade!	What a pity!; What a surprise!; For goodness sake!	¡Qué lástima!; ¡Qué sorpresa!; ¡ah...!; ¡Qué será!; qué peligro!	Che peccato!; Che sorpresa!; Ohh!; Cosa sarà!	
29	Wie heiß!	What a heat!; it's hot!	¡Qué calor!; ¡qué caliente!	Che calore!; Che caldo!	
30	Aua!	ouch!	¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!	Che dolore! [Sensazione di qualcosa di pizzica o punge]; Che pena!	
31	Was für eine Kälte!; Wie kalt!	How cold!; [cold]; burr!	¡Qué frío!; [frío]	Che freddo!; [sensazione di freddo]	
32	Wie furchterregend!	How horrifying!; How frightening!	¡Qué horror!; ¡Qué miedo!; ¡Qué espanto!; ¡Qué susto!; ¡Qué horrificante!	Che orrore!; Che paura!; Che spavento!; Che cosa orribile	
33	etwas Beängstigendes	something frightening	algo que da miedo	qualcosa che fa paura	
34	heiß sein	to be hot	estar caliente	essere caldo	
35	alter Mann	old man	anciano	anziano	vieillard
36	Vorfahren	ancestors	antepasados	antenati	
37	Wunder	marvel	maravilla; milagro	meraviglia; miracolo	
38	Fibel; Alphabet	spelling-book; alphabet	abecedario; alfabeto	abecedario; alfabeto	
39	Spielzeug	toy	juguete	giocattolo	
40	Fibel	spelling-book	abecedario	abecedario	
41	Kaktus (Art)	kind of cactus	planta de las familias de los cactus; (raiz comestible); una de las variedades de cacto de raíz comestible	achakana; [varietà di cactus la cui radice è commestibile]	
42	Au!; Aua!; [Ausruf von Schmerz]	Ouch!; What a pain!; [exclamation of pain]	¡Qué dolor!; Qué desagrado!; [exclamación de dolor]	Che dolore!; Che male!; [esclamazione di dolore]	
43	Beutelratte; Opossum	opossum	zarigüeya; muca; marsupial americano	opossum; [marsupiale americano]; [tax. reg: Animalia; phy: Chordata; sph: Vertebrata; cla: Mammalia; ucl: Theria; icl: Metatheria; sor: Ameridelphia; ord: Didelphimorphia; fam: Didelphidae]	
44	Wie schrecklich!	How fearful!	¡qué miedo!	Che paura!	
45	Vorwand	pretext	achaque; pretexto; motivo	pretesto; motivo	prétexte
46	einen Vorwand suchen	call upon a pretext	invocar un pretexto	invocare un pretesto	invoquer un prétexte
47	das eine sagen und das andere tun	to say one thing and do something else	decir lo uno y hacer lo otro; calumniar	dire una cosa e farne un'altra; calunniare	
48	Beutelratte; Opossum	opossum	zarigüeya; muca; marsupial americano	opossum; [marsupiale americano]; [tax. reg: Animalia; phy: Chordata; sph: Vertebrata; cla: Mammalia; ucl: Theria; icl: Metatheria; sor: Ameridelphia; ord: Didelphimorphia; fam: Didelphidae]	
49	Schmuck; Geschmeide; Verzierung	ornament	adorno	ornamento	parure
50	schmücken	to adorn; to decorate	adornar; decorar; hermosear; embellecer; ornamentar	ornare; decorare; abbellire	
51	sich schmücken	to adorn	adornarse; ataviarse; embellecerse	decorarsi; abbellirsi; farsi bello; farsi bella	
52	geschmückt	adorned	adornado; engalanado	decorato	
53	Wie schön!; [Ausruf von Freude]	How pretty!; How beautiful!; [exclamation of joy]	¡Qué bonito!; ¡Qué lindo!; ¡Qué deseable!; ¡Qué rico!; [exclamación de alegría]; ¡qué hermoso!; qué agradable!	Che bello!; Che carino!; Che buono!; [esclamazione di allegria]	
54	Überfluss; Luxus	luxury	lujo; suntuosidad	lusso; suntuosità	
55	Begonie; krautige Pflanze (Art); Pflanze, die verwendet wird zum Rot Färben	begonia; kind of herbaceous plant; plant used for red dye	begonia; especie de planta herbácea (su raíz cura la terciana); achanccaray; planta usada para teñir de rojo	begonia; [specie di pianta erbacea la cui radice cura la febbre terziana; la pianta è anche usata per tingere di rosso]; [tax. bin: Begonia veitchii]	
56	zerzausen	to tousle	desordenar el cabello	spettinare i capelli	
57	beißen	to bite	morder	mordere	
58	gewiss (in Antworten); sicherlich (in Antworten); vielleicht (in Antworten)	certainly (in answers); surely (in answers); possibly (in answers)	seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente; seguramente	sicuramente (nella risposta); probabilmente (nella risposta); certamente; sicuramente	
59	Hitze; Sonnenstrahl	heat; sunbeam; ray of sunshine	calor; rayo solar	calore; raggio solare	
60	das (emphatisch)	that (emphatic)	eso (enfático)	quello [enfatico]	
61	heiß sein	to be hot	hacer calor	fare caldo	
62	ein Ei zerbrechen; ein Ei aufschlagen	to crack an egg	romper o abrir un huevo; rajar un huevo	rompere un uovo; incrinare un uovo	
63	gewiss; sicherlich	certainly; surely	seguramente; posiblemente	sicuramente; probabilmente	
64	Hexe	witch	bruja	strega	
65	hell; klar; sauber	light; clear; clean; light in color; bright	claro; luminoso; limpio	chiaro; luminoso; pulito	
66	Licht; Helligkeit; Schein	light; glow	luz; claridad; resplandor	luce; chiarore; splendore	
67	Lampe; Leuchte; Laterne	lamp; lantern	linterna; lámpara	lanterna; lampada	
68	bitten um; erbitten	to ask for	rogar; solicitar	pregare; sollecitare	
69	sauber; rein	clean	limpio	pulito	
70	Ozon	ozone	ozono	ozono	
71	nackt; gehäutet	naked; peeled	desnudo; pelado	nudo; pelato	
72	klären	to clarify	aclarar; alumbrar	chiarire; illuminare	
73	leuchten; scheinen; strahlen	to shine; to light	alumbrarse	illuminarsi	
74	Licht	light	luz	luce	
75	Morgengrauen	dawn	amanecer; crepúsculo	mattino	
76	tagen; hell werden; Tag werden (Morgen); aufklaren	to dawn; to clear up	alborear; amanecer; despejarse la atmósfera; aclararse la oscuridad; despejarse; aclarar	albeggiare; fare mattino; schiarirsi il cielo; schiarirsi l'oscurità; rasserenarsi	
77	scheinen; leuchten; strahlen; glänzen; hell werden; aufklaren; aufleuchten	to shine; to clear up; to get light	lucir; brillar; iluminar; despejarse; aclararse; relucir; resplandecer; alumbrar; aclarar; centellear	illuminare; brillare; schiarirsi; chiarirsi; risplendere; illuminare; chiarire; rasserenarsi	
78	beleuchten; anstrahlen	to brighten; to illuminate; to shine; to light; to give light; to light	iluminar; alumbrar	illuminare	
79	Gott (Name aus der Zeit vor Ketschua)	prekichwa name of god	nombre prekichwa de dios	Atsil; dio; [nome pre-quechua di dio]	
80	Vater Atsil (Gott)	Father Atsil (god)	Padre Atsil (dios)	Padre Atsil; dio	
81	Vater Atsil (Gott)	Father Atsil (god)	Padre Atsil (dios)	Padre Atsil; dio	
82	Patin	godmother	madrina; madrina de bautizo	madrina; madrina di battesimo	
83	dünner, trockener Stengel, als Docht verwendet	thin, dry stalk used as wick	tallo delgado y seco bueno como mecha	tronco fine e secco usato come tutore	
84	Pflanze (Art) mit breiten Blättern und gelben Blüten; Pflanze, deren Samen verwendet werden zum Rot Färben	kind of plant with broad leaves and yellow flowers; plant like the potato; plant, seeds used in red dye	planta de hojas anchas y flores amarillas; planta ornamental de la familia de las cannáceas; su raiz se utiliza en la alimentación; achira (planta cannácea cuyas hojas sirven para envolver tamales y humitas); achira; planta cuya semilla se usa para teñir de rojo; planta ornamental del Perú, de raíz comestible	achira; [pianta ornamentale della famiglia delle cannacee, di foglie bianche e fiori gialli; la sua radice è utilizzata nell'alimentazione: le foglie servono per avvolgere tamales e umitas, mentre i semi sono usati come colorante rosso e la radice è commestibile]; [tax. bin: Canna indica; ord: Zingiberales; fam: Cannaceae]	
85	so genannter Sesam; der Kinua ähnliche Pflanze	so-called sesame; plant similar to quinua	ajonjolí; sésamo (planta parecida a la quinua)	sesamo; [pianta simile alla quinua]; [tax. bin: Sesamum indicum; ord: Lamiales; fam: Pedaliaceae]	
86	als Getreide angebautes Amaranthgewächs; Kiwicha	a grain or cereal similar to quinua	quihuicha; especie de amaranto	quihuicha; [cereale simile alla quinua; specie di amaranto]; [tax. bin: Amaranthus caudatus; ord: Caryophyllales; fam: Amaranthaceae]	
87	Pate	godfather	padrino; padrino de bautizo	padrino; padrino di battesimo	
88	Niesen	sneeze	estornudo	starnuto	
89	niesen	to sneeze	estornudar	starnutire	
90	kleiner Sonnenschirm	small parasol	parasol pequeño; parasol; toldo; quitasol; sombrilla	parasole piccolo; parasole; tendalino; tendone	ombrelle
91	Strauch (Art), dessen Blätter fürs Färben in Blau genutzt werden	kind of shrub whose leaves are used for blue dye	especie de arbusto cuyas hojas se usan para teñir azul	achiwa; [specie di arbusto le cui foglie sono utilizzate per tingere di blu]	
92	Patenkind	godchild	ahijado; ahijado; ahijada	figlioccio; figlio adottivo; figlioccia; figlia adottiva	
93	Baum (Art); Pflanze, deren Samen verwendet werden zum Rot Färben	kind of tree; plant, red paint or dye made from seeds; lipstick tree	achiote; achote; bija; especie de arbolillo; árbol de la familia de las bináceas posee propiedades tintoreas que se utilizan en la comida; especie de planta (su semilla roja es usada como colorante para comidas y teñidos); achiote; planta cuya semilla se usa para teñir de rojo; achiote - arbusto cuyo fruto es usado como colorante en las comidas. en la medicina popular cura el mal llamado pián (cuchipe)	achiote; achote; [albero della famiglia delle binacee i cui semi rossi sono utilizzati nell'alimentazione come colorante; nella medicina cura il male chiamado pián in spagnolo e cuchipe in quechua]; [tax. bin: Bixa orellana]	
94	genießen	to enjoy	disfrutar de; gozar de	divertirsi	
95	schüren; anfachen	to poke; to add wood to the fire	atizar; atizar el fuego	attizzare; attizzare il fuoco	
96	ja, gewiss; gewiss; sicherlich; sehr wahrscheinlich	yes indeed; certainly; surely; very probably	sí pues; seguramente; posiblemente; muy probable	si certo; sicuramente; probabilmente; molto probabilmente	
97	möglicherweise; zweifellos	possibly; doubtlessly	posiblemente; no hay duda	probabilmente; non ci sono dubbi; senza dubbio	
98	niesen	to sneeze	estornudar	starnutire	
99	Pate	godfather	padrino	padrino	
