id	lemma	pos
1	a	adv.afirm.
2	a	adv.m.
3	a	fon.
4	a!; aa!	interj.
5	a-ari	adv.m.
6	abahiñu	s.
7	abansay	v.intr.
8	abas	s.
9	abas kuta; abas hak'u	s.
10	abaspa tuktun	s.
11	abi	s.
12	abiha	s.
13	abiyay	v.tr.
14	abiyu	s.
15	abril	s.
16	abugadu	s.
17	abunu	s.
18	abusay	v.tr.
19	abuta	s.
20	acha	adj.
21	achá	adv.afirm.
22	achacha	s.
23	achachachinakuy	v.recip.
24	achachachiy	v.tr.
25	achachakuy	v.pron.
26	Achachallawya!	interj.
27	achachaq	adj.
28	Achachaw!	interj.
29	Achachaw!	interj.
30	Achachaw!	interj.
31	Achachay!	interj.
32	Achachay!	interj.
33	achachay	s.
34	achachay	v.intr.
35	achachi	s.
36	achachilasa	s.
37	achachilla	s.
38	achachha	s.
39	achaka	s.
40	achákala	s.
41	achakana	s.
42	Achakaw!	interj.
43	achakawka	s.
44	achakay!	interj.
45	achaki	s.
46	achakita churay	v.intr.
47	achakiy	v.intr.
48	achaku	s.
49	achala	s.
50	achalachiy	v.tr.
51	achalakuy	v.intr.
52	achalasqa	p.p.p.
53	Achalaw!	interj.
54	achalayki	s.
55	achanqaray	s.
56	achapay	v.tr.
57	achaqay	v.tr.
58	achari	adv.afirm.
59	achay	s.
60	achay	s.
61	achay	v.impers.
62	achay	v.tr.
63	achi	adv.afirm.
64	achichin	s.
65	achik	adj.
66	achik	s.
67	achikachikuq	s.
68	achikay	v.tr.
69	achiklla	adj.
70	achiksamaytu	s.
71	achiku	adj.
72	achikyachiy	v.tr.
73	achikyakuy	v.intr.
74	achikyaq	s.
75	achikyay	s.
76	achikyay	v.impers.
77	achikyay	v.intr.
78	achikyay	v.tr.
79	Achil	s.
80	Achil Tayta	s.
81	Achil Yaya	s.
82	achi mama	s.
83	achipsa	s.
84	achira	s.
85	achis	s.
86	achita	s.
87	achi tayta	s.
88	achiusa	s.
89	achiusay	v.intr.
90	achiwa	s.
91	achiwa-achiwa	s.
92	achi wawa	s.
93	achiwiti	s.
94	achiy	v.tr.
95	achiy	v.tr.
96	achiyá	adv.afirm.
97	achiyari	adv.afirm.
98	achiyay	v.intr.
99	achi yaya	s.
100	achka	adj.
101	achkachay	v.intr.
102	achkachay	v.tr.
103	achkam	expr.
104	achkanyay hayñikuna	s.
105	achka qullqipaq rantisqa ñin	expr.
106	achka qullqipi qhaturiq	adj.
107	achka qullqi waliq	adj.
108	achka runa	s.
109	achkash	s.
110	achkata	adv.m.
111	achka tiyay	v.intr.
112	achka t'asla	s.
113	achka uya	s.
114	Achkay	s.
115	achkayachiq	s.
116	achkayachiy	v.tr.
117	achkayay	v.intr.
118	achka yupa	s.
119	achki	s.
120	achkikuq	s.
121	achkina	s.
122	achkiy	s.
123	achkiy	v.tr.
124	achku	s.
125	achkukuy	v.tr.
126	achkuy	v.tr.
127	achkuy	v.tr.
128	achmikuq	s.
129	achmiy	v.tr.
130	achpay	v.mov.
131	achpaykachay	v.mov.
132	achqay	v.tr.
133	achu	s.
134	achu	s.
135	achucha	s.
136	achuchiy	v.tr.
137	achukay	v.tr.
138	achuma qhiwillu	s.
139	achuni	s.
140	achuni sananku	s.
141	achuni ullu	s.
142	achupalla	s.
143	achupalla	s.
144	achuqalla	s.
145	achuqalla	s.
146	achuqcha	s.
147	achura	s.
148	achuray	v.tr.
149	achuy	v.tr.
150	achuy	v.tr.
151	achwatakuy	v.intr.
152	achhiq ñiy	v.dic.
153	achhiy	s.
154	achhiy	v.intr.
155	achhumuy	v.mov.
156	achhuray	v.mov.
157	achhuy	v.mov.
158	achhuykuy	v.mov.
159	achhuyuy	v.mov.
160	adisir	expr.
161	Adiyús	expr.
162	admirasqa kay	v.intr.
163	adrí	adv.m.
164	adubi	s.
165	afanakuy	v.intr.
166	afaniru	adj.
167	afaniswan	adj.
168	afilay	v.tr.
169	aflihiy	v.tr.
170	agradisiy	v.tr.
171	agustu	s.
172	aha	adj.
173	Ahá!	interj.
174	ahachiy	v.tr.
175	Ahahay!	interj.
176	ahahay	v.dic.
177	ahalla	adv.m.
178	ahallay	v.intr.
179	ahan	interj.
180	ahasqa	p.p.
181	ahay	v.intr.
182	ahay	v.tr.
183	ahayachiy	v.tr.
184	ahayay	v.intr.
185	ahi!	interj.
186	ahina	adv.m.
187	ahina	s.
188	ahinhu	s.
189	ahitay	v.intr.
190	ahiy	v.dic.
191	ahumpay	v.intr.
192	ahus	s.
193	ahus chiru	s.
194	ahus p'anqa	s.
195	ahus qiru; ahus k'aspi	s.
196	ahus sach'a	s.
197	ahus waska	s.
198	ahuy	v.tr.
199	ahwilay	v.tr.
200	aka	s.
201	akachakuy	v.intr.
202	akachaq	adj.
203	akacháw	interj.
204	akachay	s.
205	akachay	v.tr.
206	aka hina sinqayuq	s.p.
207	Akakalláw!	interj.
208	Akakaw!	interj.
209	akakaw!	interj.
210	akakllu	s.
211	akakuy	v.intr.
212	aka k'ichki	s.
213	aka k'uchu	s.
214	akanawasi	s.
215	akanayaq runa	expr.
216	akankaw	s.
217	akapa	adj.
218	akapakuy	v.intr.
219	akapana	s.
220	akapana	s.
221	akaraqay	s.
222	akarqana	s.
223	aka siki	s.
224	akasu	conj.
225	akatanqa	s.
