interimid,lemma,entry
1,a,https://qichwa.wikibase.cloud/entity/L7
2,a,https://qichwa.wikibase.cloud/entity/L8
4,aa!,https://qichwa.wikibase.cloud/entity/L10
5,a-ari,https://qichwa.wikibase.cloud/entity/L11
6,abahiñu,https://qichwa.wikibase.cloud/entity/L12
7,abansay,https://qichwa.wikibase.cloud/entity/L13
8,abas,https://qichwa.wikibase.cloud/entity/L14
9,abas hak'u,https://qichwa.wikibase.cloud/entity/L15
10,abaspa tuktun,https://qichwa.wikibase.cloud/entity/L16
11,abi,https://qichwa.wikibase.cloud/entity/L17
12,abiha,https://qichwa.wikibase.cloud/entity/L18
13,abiyay,https://qichwa.wikibase.cloud/entity/L19
14,abiyu,https://qichwa.wikibase.cloud/entity/L20
15,abril,https://qichwa.wikibase.cloud/entity/L21
16,abugadu,https://qichwa.wikibase.cloud/entity/L22
17,abunu,https://qichwa.wikibase.cloud/entity/L23
18,abusay,https://qichwa.wikibase.cloud/entity/L24
19,abuta,https://qichwa.wikibase.cloud/entity/L25
20,acha,https://qichwa.wikibase.cloud/entity/L6
21,achá,https://qichwa.wikibase.cloud/entity/L27
22,achacha,https://qichwa.wikibase.cloud/entity/L28
23,achachachinakuy,https://qichwa.wikibase.cloud/entity/L29
24,achachachiy,https://qichwa.wikibase.cloud/entity/L30
25,achachakuy,https://qichwa.wikibase.cloud/entity/L31
26,Achachallawya!,https://qichwa.wikibase.cloud/entity/L32
27,achachaq,https://qichwa.wikibase.cloud/entity/L33
28,Achachaw!,https://qichwa.wikibase.cloud/entity/L34
29,Achachaw!,https://qichwa.wikibase.cloud/entity/L35
30,Achachaw!,https://qichwa.wikibase.cloud/entity/L36
31,Achachay!,https://qichwa.wikibase.cloud/entity/L37
32,Achachay!,https://qichwa.wikibase.cloud/entity/L38
33,achachay,https://qichwa.wikibase.cloud/entity/L39
34,achachay,https://qichwa.wikibase.cloud/entity/L40
35,achachi,https://qichwa.wikibase.cloud/entity/L41
36,achachilasa,https://qichwa.wikibase.cloud/entity/L42
37,achachilla,https://qichwa.wikibase.cloud/entity/L43
38,achachha,https://qichwa.wikibase.cloud/entity/L44
39,achaka,https://qichwa.wikibase.cloud/entity/L45
40,achákala,https://qichwa.wikibase.cloud/entity/L46
41,achakana,https://qichwa.wikibase.cloud/entity/L47
42,Achakaw!,https://qichwa.wikibase.cloud/entity/L48
43,achakawka,https://qichwa.wikibase.cloud/entity/L49
44,achakay!,https://qichwa.wikibase.cloud/entity/L50
45,achaki,https://qichwa.wikibase.cloud/entity/L51
46,achakita churay,https://qichwa.wikibase.cloud/entity/L52
47,achakiy,https://qichwa.wikibase.cloud/entity/L53
48,achaku,https://qichwa.wikibase.cloud/entity/L54
49,achala,https://qichwa.wikibase.cloud/entity/L55
50,achalachiy,https://qichwa.wikibase.cloud/entity/L56
51,achalakuy,https://qichwa.wikibase.cloud/entity/L57
52,achalasqa,https://qichwa.wikibase.cloud/entity/L58
53,Achalaw!,https://qichwa.wikibase.cloud/entity/L59
54,achalayki,https://qichwa.wikibase.cloud/entity/L60
55,achanqaray,https://qichwa.wikibase.cloud/entity/L61
56,achapay,https://qichwa.wikibase.cloud/entity/L62
57,achaqay,https://qichwa.wikibase.cloud/entity/L63
58,achari,https://qichwa.wikibase.cloud/entity/L64
59,achay,https://qichwa.wikibase.cloud/entity/L65
60,achay,https://qichwa.wikibase.cloud/entity/L66
61,achay,https://qichwa.wikibase.cloud/entity/L67
62,achay,https://qichwa.wikibase.cloud/entity/L68
63,achi,https://qichwa.wikibase.cloud/entity/L69
64,achichin,https://qichwa.wikibase.cloud/entity/L70
65,achik,https://qichwa.wikibase.cloud/entity/L71
66,achik,https://qichwa.wikibase.cloud/entity/L72
67,achikachikuq,https://qichwa.wikibase.cloud/entity/L73
68,achikay,https://qichwa.wikibase.cloud/entity/L74
