id	Deutsch	English	Español
1	gewiss; sicherlich	certainly; surely	seguramente; indudablemente; sí; seguro; pues
2	da; dann; also	then; so; well; then (abbreviated form of ari)	pues
3	(Vokal, Phonem der Ketschua-Sprache)	(vocal phoneme of the quechua language)	(fonema vocálico abierto bajo central del idioma quechua); (vocal abierta, baja central); (vocal abierta, central y la de mayor frecuencia); (vocal baja central no redondeada); /a/ vocal baja central
4	oh!; ja!	oh!; yes!	¡oh!; ¡si!
5	klar	clear	claro
6	geschälte, rosafarbene Kartoffel	purple skinned potato	papa morada pelada
7	vorangehen; fortschreiten	to advance	avanzar
8	Saubohne	broad bean	haba; habas
9	Mehl aus Saubohnen	flour of broad beans	harina de habas
10	Bohnenblüte; Gewebe, das der Bohnenblüte ähnelt	bean flower; fabric that resembles bean flowers	flor de haba; tejido que se parece a la flor de haba
11	Vogel	bird	ave; pájaro
12	Biene	bee	abeja
13	ausrüsten; jemandem das Notwendige für eine Reise geben	to equip; to give someone the necessary for a voyage	aviar; dar a alguien lo necesario para un viaje
14	kalte Mahlzeit; Wegzehrung; Vorschuss zum Lohn	cold meal; provisions; advance on wages	avío; comida fría
15	April	April	abril
16	Anwalt; Rechtsanwalt	lawyer	abogado
17	Dünger	fertilizer (from Spanish abono; which actually derives from Quechua wanu)	abono
18	vergewaltigen	to rape; to violate (sexual violence)	abusar; violar (sexual)
19	Heilpflanze (Art), Hauptnutzung: Fieber, Diabetes, Malaria, Monatskrämpfe, Geschwüre, Schmerzstiller, Zahnschmerzstiller usw.	abuta; velvet leaf; kind of medicinal plant, main uses: fever, diabetes, malaria, menstural cramps, ulcers, pain killer, dental pain killer etc.	abuta; barbasco; especie de planta medicinal, usos principales: calentura, diabetes, malaria, espasmos menstruales, úlceras, analgético, analgético dental etc.
20	ungekämmt; zerzaust	dishevelled	despeinado
21	gewiss (in Antworten); sicherlich (in Antworten); vielleicht (in Antworten)	certainly (in answers); surely (in answers); possibly (in answers)	seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente
22	Spielzeug	toy	juguete
23	sich erhitzen; sich erwärmen	to heat up; to warm up	darse calor; calentarse
24	erhitzen; erwärmen; wärmen; heizen	to heat; to warm; to heat up; to warm up	calentar; dar calor
25	Hitze fühlen; heiß sein	to feal heat; to be hot	sentir calor; hacer calor
26	Wie entsetzlich!; Wie furchtbar!	How terrible!; How horrible!	¡Qué terrible!; ¡Qué horrible!
27	heiß	hot	caliente
28	Donnerwetter!; Aha!; Welch Überraschung!; Wie schade!	What a pity!; What a surprise!; For goodness sake!	¡Qué lástima!; ¡Qué sorpresa!; ¡ah...!; ¡Qué será!; qué peligro!
29	Wie heiß!	What a heat!; it's hot!	¡Qué calor!; ¡qué caliente!
30	Aua!	ouch!	¡Qué dolor!; [ante la sensación de algo punzante]; ¡qué pena!
31	Was für eine Kälte!; Wie kalt!	How cold!; [cold]; burr!	¡Qué frío!; [frío]
32	Wie furchterregend!	How horrifying!; How frightening!	¡Qué horror!; ¡Qué miedo!; ¡Qué espanto!; ¡Qué susto!; ¡Qué horrificante!
33	etwas Beängstigendes	something frightening	algo que da miedo
34	heiß sein	to be hot	estar caliente
35	alter Mann	old man	anciano
36	Vorfahren	ancestors	antepasados
37	Wunder	marvel	maravilla; milagro
