element	attribute	attributeValue	liderURI	dtype	values	
admin	type	annotatedNote	<http://tbx2rdf.lider-project.eu/tbx#annotatedNote>	string		
admin	type	applicationSubset	<http://tbx2rdf.lider-project.eu/tbx#applicationSubset>	string		
admin	type	businessUnitSubset	<http://tbx2rdf.lider-project.eu/tbx#businessUnitSubset>	string		
admin	type	conceptOrigin	<http://tbx2rdf.lider-project.eu/tbx#conceptOrigin>	string		
admin	type	customerSubset	<http://tbx2rdf.lider-project.eu/tbx#customerSubset>	string		
admin	type	databaseType	<http://tbx2rdf.lider-project.eu/tbx#databaseType>	string		
admin	type	domainExpert	<http://tbx2rdf.lider-project.eu/tbx#domainExpert>	string		
admin	type	elementWorkingStatus	<http://tbx2rdf.lider-project.eu/tbx#elementWorkingStatus>	wikibase-item	starterElement,workingElement,consolidatedElement,archiveElement,importedElement,exportedElement	
admin	type	entrySource	<http://tbx2rdf.lider-project.eu/tbx#entrySource>	string		
admin	type	environmentSubset	<http://tbx2rdf.lider-project.eu/tbx#environmentSubset>	string		
admin	type	indexHeading	<http://tbx2rdf.lider-project.eu/tbx#indexHeading>	string		
admin	type	keyword	<http://tbx2rdf.lider-project.eu/tbx#keyword>	string		
admin	type	originatingDatabase	<http://tbx2rdf.lider-project.eu/tbx#originatingDatabase>	string		
admin	type	originatingInstitution	<http://tbx2rdf.lider-project.eu/tbx#originatingInstitution>	string		
admin	type	originatingPerson	<http://tbx2rdf.lider-project.eu/tbx#originatingPerson>	string		
admin	type	productSubset	<http://tbx2rdf.lider-project.eu/tbx#productSubset>	string		
admin	type	projectSubset	<http://tbx2rdf.lider-project.eu/tbx#projectSubset>	string		
admin	type	searchTerm	<http://tbx2rdf.lider-project.eu/tbx#searchTerm>	string		
admin	type	securitySubset	<http://tbx2rdf.lider-project.eu/tbx#securitySubset>	wikibase-item	public,confidential	
admin	type	sortKey	<http://tbx2rdf.lider-project.eu/tbx#sortKey>	string		
admin	type	source	<http://tbx2rdf.lider-project.eu/tbx#source>	string		
admin	type	sourceIdentifier	<http://tbx2rdf.lider-project.eu/tbx#sourceIdentifier>	string		
admin	type	status		string		
admin	type	subsetOwner	<http://tbx2rdf.lider-project.eu/tbx#subsetOwner>	string		
adminNote	type	noteSource	<http://tbx2rdf.lider-project.eu/tbx#noteSource>	string		
adminNote	type	sourceType	<http://tbx2rdf.lider-project.eu/tbx#sourceType>	wikibase-item	parallelText,backgroundText	
transacGrp	null	date	<http://www.w3.org/ns/prov#endedAtTime>	time		
descrip	type	antonymConcept	<http://tbx2rdf.lider-project.eu/tbx#antonymConcept>	wikibase-item		
descrip	type	associatedConcept	<http://tbx2rdf.lider-project.eu/tbx#associatedConcept>	wikibase-item		
descrip	type	audio	<http://tbx2rdf.lider-project.eu/tbx#audio>	string		
descrip	type	broaderConceptGeneric	<http://tbx2rdf.lider-project.eu/tbx#broaderConceptGeneric>	wikibase-item		
descrip	type	broaderConceptPartitive	<http://tbx2rdf.lider-project.eu/tbx#broaderConceptPartitive>	wikibase-item		
descrip	type	characteristic	<http://tbx2rdf.lider-project.eu/tbx#characteristic>	string		
descrip	type	classificationCode	<http://tbx2rdf.lider-project.eu/tbx#classificationCode>	string		
descrip	type	conceptPosition	<http://tbx2rdf.lider-project.eu/tbx#conceptPosition>	string		
descrip	type	coordinateConceptGeneric	<http://tbx2rdf.lider-project.eu/tbx#coordinateConceptGeneric>	wikibase-item		
