label,liderURI
abbreviation,<http://tbx2rdf.lider-project.eu/tbx#abbreviation>
acronym,<http://tbx2rdf.lider-project.eu/tbx#acronym>
adjective,<http://tbx2rdf.lider-project.eu/tbx#adjective>
admittedTerm,<http://tbx2rdf.lider-project.eu/tbx#admittedTerm>
admittedTerm-admn-sts,<http://tbx2rdf.lider-project.eu/tbx#admittedTerm-admn-sts>
adverb,<http://tbx2rdf.lider-project.eu/tbx#adverb>
animate,<http://tbx2rdf.lider-project.eu/tbx#animate>
archaicTerm,<http://tbx2rdf.lider-project.eu/tbx#archaicTerm>
archiveElement,<http://tbx2rdf.lider-project.eu/tbx#archiveElement>
associativeContext,<http://tbx2rdf.lider-project.eu/tbx#associativeContext>
backgroundText,<http://tbx2rdf.lider-project.eu/tbx#backgroundText>
bench-levelRegister,<http://tbx2rdf.lider-project.eu/tbx#bench-levelRegister>
clippedTerm,<http://tbx2rdf.lider-project.eu/tbx#clippedTerm>
colloquialRegister,<http://tbx2rdf.lider-project.eu/tbx#colloquialRegister>
commonlyUsed,<http://tbx2rdf.lider-project.eu/tbx#commonlyUsed>
commonName,<http://tbx2rdf.lider-project.eu/tbx#commonName>
confidential,<http://tbx2rdf.lider-project.eu/tbx#confidential>
consolidatedElement,<http://tbx2rdf.lider-project.eu/tbx#consolidatedElement>
definingContext,<http://tbx2rdf.lider-project.eu/tbx#definingContext>
deprecatedTerm,<http://tbx2rdf.lider-project.eu/tbx#deprecatedTerm>
deprecatedTerm-admn-sts,<http://tbx2rdf.lider-project.eu/tbx#deprecatedTerm-admn-sts>
dual,<http://tbx2rdf.lider-project.eu/tbx#dual>
entryTerm,<http://www.lexinfo.net/ontology/2.0/lexinfo#entryTerm>
equation,<http://www.lexinfo.net/ontology/2.0/lexinfo#equation>
explanatoryContext,<http://tbx2rdf.lider-project.eu/tbx#explanatoryContext>
exportedElement,<http://tbx2rdf.lider-project.eu/tbx#exportedElement>
extensionalDefinition,<http://tbx2rdf.lider-project.eu/tbx#extensionalDefinition>
feminine,<http://tbx2rdf.lider-project.eu/tbx#feminine>
formula,<http://tbx2rdf.lider-project.eu/tbx#formula>
fullForm,<http://www.lexinfo.net/ontology/2.0/lexinfo#fullForm>
importedElement,<http://tbx2rdf.lider-project.eu/tbx#importedElement>
in-houseRegister,<http://tbx2rdf.lider-project.eu/tbx#in-houseRegister>
inanimate,<http://tbx2rdf.lider-project.eu/tbx#inanimate>
infrequentlyUsed,<http://tbx2rdf.lider-project.eu/tbx#infrequentlyUsed>
initialism,<http://tbx2rdf.lider-project.eu/tbx#initialism>
intensionalDefinition,<http://tbx2rdf.lider-project.eu/tbx#intensionalDefinition>
internationalism,<http://tbx2rdf.lider-project.eu/tbx#internationalism>
internationalScientificTerm,<http://tbx2rdf.lider-project.eu/tbx#internationalScientificTerm>
legalTerm,<http://tbx2rdf.lider-project.eu/tbx#legalTerm>
legalTerm-admn-sts,<http://tbx2rdf.lider-project.eu/tbx#legalTerm-admn-sts>
linguisticContext,<http://tbx2rdf.lider-project.eu/tbx#linguisticContext>
loanTranslation,<http://tbx2rdf.lider-project.eu/tbx#loanTranslation>
logicalExpression,<http://tbx2rdf.lider-project.eu/tbx#logicalExpression>
masculine,<http://tbx2rdf.lider-project.eu/tbx#masculine>
mass,<http://tbx2rdf.lider-project.eu/tbx#mass>
metalinguisticContext,<http://tbx2rdf.lider-project.eu/tbx#metalinguisticContext>
neologism,<http://tbx2rdf.lider-project.eu/tbx#neologism>
neuter,<http://tbx2rdf.lider-project.eu/tbx#neuter>
neutralRegister,<http://tbx2rdf.lider-project.eu/tbx#neutralRegister>
newTerm,<http://tbx2rdf.lider-project.eu/tbx#newTerm>
nonstandardizedTerm,<http://tbx2rdf.lider-project.eu/tbx#nonstandardizedTerm>
noun,<http://tbx2rdf.lider-project.eu/tbx#noun>
obsoleteTerm,<http://tbx2rdf.lider-project.eu/tbx#obsoleteTerm>
other,<http://tbx2rdf.lider-project.eu/tbx#other>
otherAnimacy,<http://tbx2rdf.lider-project.eu/tbx#otherAnimacy>
otherGender,<http://tbx2rdf.lider-project.eu/tbx#otherGender>
otherNumber,<http://tbx2rdf.lider-project.eu/tbx#otherNumber>
outdatedTerm,<http://tbx2rdf.lider-project.eu/tbx#outdatedTerm>
parallelText,<http://tbx2rdf.lider-project.eu/tbx#parallelText>
partitiveDefinition,<http://tbx2rdf.lider-project.eu/tbx#partitiveDefinition>
partNumber,<http://tbx2rdf.lider-project.eu/tbx#partNumber>
phraseologicalUnit,<http://tbx2rdf.lider-project.eu/tbx#phraseologicalUnit>
plural,<http://tbx2rdf.lider-project.eu/tbx#plural>
preferredTerm,<http://tbx2rdf.lider-project.eu/tbx#preferredTerm>
preferredTerm-admn-sts,<http://tbx2rdf.lider-project.eu/tbx#preferredTerm-admn-sts>
properNoun,<http://tbx2rdf.lider-project.eu/tbx#properNoun>
proposedTerm,<http://tbx2rdf.lider-project.eu/tbx#proposedTerm>
public,<http://tbx2rdf.lider-project.eu/tbx#public>
rarelyUsed,<http://tbx2rdf.lider-project.eu/tbx#rarelyUsed>
recommendedTerm,<http://tbx2rdf.lider-project.eu/tbx#recommendedTerm>
regulatedTerm,<http://tbx2rdf.lider-project.eu/tbx#regulatedTerm>
regulatedTerm-admn-sts,<http://tbx2rdf.lider-project.eu/tbx#regulatedTerm-admn-sts>
