qid	label	liderURI
Q5	abbreviation	http://tbx2rdf.lider-project.eu/tbx#abbreviation
Q6	acronym	http://tbx2rdf.lider-project.eu/tbx#acronym
Q7	adjective	http://tbx2rdf.lider-project.eu/tbx#adjective
Q8	admittedTerm	http://tbx2rdf.lider-project.eu/tbx#admittedTerm
Q9	admittedTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#admittedTerm-admn-sts
Q10	adverb	http://tbx2rdf.lider-project.eu/tbx#adverb
Q11	animate	http://tbx2rdf.lider-project.eu/tbx#animate
Q12	archaicTerm	http://tbx2rdf.lider-project.eu/tbx#archaicTerm
Q13	archiveElement	http://tbx2rdf.lider-project.eu/tbx#archiveElement
Q14	associativeContext	http://tbx2rdf.lider-project.eu/tbx#associativeContext
Q15	backgroundText	http://tbx2rdf.lider-project.eu/tbx#backgroundText
Q16	bench-levelRegister	http://tbx2rdf.lider-project.eu/tbx#bench-levelRegister
Q17	clippedTerm	http://tbx2rdf.lider-project.eu/tbx#clippedTerm
Q18	colloquialRegister	http://tbx2rdf.lider-project.eu/tbx#colloquialRegister
Q19	commonlyUsed	http://tbx2rdf.lider-project.eu/tbx#commonlyUsed
Q20	commonName	http://tbx2rdf.lider-project.eu/tbx#commonName
Q21	confidential	http://tbx2rdf.lider-project.eu/tbx#confidential
Q22	consolidatedElement	http://tbx2rdf.lider-project.eu/tbx#consolidatedElement
Q23	definingContext	http://tbx2rdf.lider-project.eu/tbx#definingContext
Q24	deprecatedTerm	http://tbx2rdf.lider-project.eu/tbx#deprecatedTerm
Q25	deprecatedTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#deprecatedTerm-admn-sts
Q26	dual	http://tbx2rdf.lider-project.eu/tbx#dual
Q27	entryTerm	http://www.lexinfo.net/ontology/2.0/lexinfo#entryTerm
Q28	equation	http://www.lexinfo.net/ontology/2.0/lexinfo#equation
Q29	explanatoryContext	http://tbx2rdf.lider-project.eu/tbx#explanatoryContext
Q30	exportedElement	http://tbx2rdf.lider-project.eu/tbx#exportedElement
Q31	extensionalDefinition	http://tbx2rdf.lider-project.eu/tbx#extensionalDefinition
Q32	feminine	http://tbx2rdf.lider-project.eu/tbx#feminine
Q33	formula	http://tbx2rdf.lider-project.eu/tbx#formula
Q34	fullForm	http://www.lexinfo.net/ontology/2.0/lexinfo#fullForm
Q35	importedElement	http://tbx2rdf.lider-project.eu/tbx#importedElement
Q36	in-houseRegister	http://tbx2rdf.lider-project.eu/tbx#in-houseRegister
Q37	inanimate	http://tbx2rdf.lider-project.eu/tbx#inanimate
Q38	infrequentlyUsed	http://tbx2rdf.lider-project.eu/tbx#infrequentlyUsed
Q39	initialism	http://tbx2rdf.lider-project.eu/tbx#initialism
Q40	intensionalDefinition	http://tbx2rdf.lider-project.eu/tbx#intensionalDefinition
Q41	internationalism	http://tbx2rdf.lider-project.eu/tbx#internationalism
Q42	internationalScientificTerm	http://tbx2rdf.lider-project.eu/tbx#internationalScientificTerm
Q43	legalTerm	http://tbx2rdf.lider-project.eu/tbx#legalTerm
Q44	legalTerm-admn-sts	http://tbx2rdf.lider-project.eu/tbx#legalTerm-admn-sts
Q45	linguisticContext	http://tbx2rdf.lider-project.eu/tbx#linguisticContext
Q46	loanTranslation	http://tbx2rdf.lider-project.eu/tbx#loanTranslation
Q47	logicalExpression	http://tbx2rdf.lider-project.eu/tbx#logicalExpression
Q48	masculine	http://tbx2rdf.lider-project.eu/tbx#masculine
Q49	mass	http://tbx2rdf.lider-project.eu/tbx#mass
Q50	metalinguisticContext	http://tbx2rdf.lider-project.eu/tbx#metalinguisticContext
Q51	neologism	http://tbx2rdf.lider-project.eu/tbx#neologism
