sense,label
https://unidive.wikibase.cloud/entity/L78-S1,Communist → a member of the communist party [L78-S1]
https://unidive.wikibase.cloud/entity/L79-S1,Confederate → of or having to do with the southern Confederacy during the American Civil War [L79-S1]
https://unidive.wikibase.cloud/entity/L80-S1,Congress → the legislature of the United States government [L80-S1]
https://unidive.wikibase.cloud/entity/L81-S1,Constitution → the constitution written at the Constitutional Convention in Philadelphia in 1787 and subsequently ratified by the original thirteen states [L81-S1]
https://unidive.wikibase.cloud/entity/L81-S2,Constitution → a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston [L81-S2]
https://unidive.wikibase.cloud/entity/L82-S1,Crusade → any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims [L82-S1]
https://unidive.wikibase.cloud/entity/L83-S1,Cuban → of or relating to or characteristic of Cuba or the people of Cuba [L83-S1]
https://unidive.wikibase.cloud/entity/L84-S1,Cyclops → (Greek mythology) one of a group of giants having a single eye in the middle of their forehead [L84-S1]
https://unidive.wikibase.cloud/entity/L85-S1,DJ → a person who announces and plays popular recorded music [L85-S1]
https://unidive.wikibase.cloud/entity/L86-S1,DNA → (biochemistry) a long linear polymer found in the nucleus of a cell and formed from nucleotides and shaped like a double helix; associated with the transmission of genetic information [L86-S1]
https://unidive.wikibase.cloud/entity/L87-S1,Danish → of or relating to or characteristic of Denmark or the Danes or their language [L87-S1]
https://unidive.wikibase.cloud/entity/L88-S1,December → the last (12th) month of the year [L88-S1]
https://unidive.wikibase.cloud/entity/L89-S1,Doppler effect → change in the apparent frequency of a wave as observer and source move toward or away from each other [L89-S1]
https://unidive.wikibase.cloud/entity/L90-S1,Dutch → of or relating to the Netherlands or its people or culture [L90-S1]
https://unidive.wikibase.cloud/entity/L91-S1,Dutch → the people of the Netherlands [L91-S1]
https://unidive.wikibase.cloud/entity/L91-S2,Dutch → the West Germanic language of the Netherlands [L91-S2]
https://unidive.wikibase.cloud/entity/L92-S1,East German → relating to or characteristic of East Germany [L92-S1]
https://unidive.wikibase.cloud/entity/L93-S1,Egyptian → of or relating to or characteristic of Egypt or its people or their language [L93-S1]
https://unidive.wikibase.cloud/entity/L94-S1,Empire → an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple [L94-S1]
